Company Name,Industry,Instrument,Rating,Outlook
TEJ COKE UNIT - II,Metals & Mining,Cash Credit Limit,CRISIL BB,Stable
TGI Packaging Private Limited,Containers & Packaging,Long Term Bank Loan,CRISIL BB+,Stable
,,Cash Credit Limit,CRISIL BB+,Stable
,,Proposed Cash Credit Limit,CRISIL BB+,Stable
,,Proposed Term Loan,CRISIL BB+,Stable
TGS Minmet Private Limited,Trading Companies & Distributors,Cash Credit/ Overdraft facility,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
,,Inland/Import Letter of Credit,CRISIL A4+,
,,Letter of Credit Limit,CRISIL A4+,
TI Steels Private Limited,Metals & Mining,Term Loan Facilities,#,
,,Cash Credit Limit,#,
TIM Delhi Airport Advertising Private Limited,Media,Long Term Bank Loan,CRISIL AA-,Stable
,,Cash Credit Limit,CRISIL AA-,Stable
,,Bank Guarantee limit,CRISIL A1+,
TJUK Trade Networks Private Limited,Distributors,Cash Credit Limit,CRISIL BB,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Proposed Term Loan,CRISIL BB,Stable
,,Proposed Cash Credit Limit,CRISIL BB,Stable
,,Letter of Credit Limit,CRISIL A4+,
TKG Industries Private Limited,Machinery,Cash Credit Limit,#,
,,Term Loan Facilities,#,
TKN Rice Industry,Food Products,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
,,Term Loan Facilities,CRISIL BB-,Stable
TKV Marketing India Private Limited,Distributors,Stand by Line of Credit,CRISIL BB,Stable
,,Over Draft,CRISIL BB,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Foreign Bill Purchase,CRISIL BB,Stable
,,Packing Credits,CRISIL A4+,
,,Bank Guarantee limit,CRISIL A4+,
TLG Agro Traders Private Limited,Food Products,Term Loan Facilities,CRISIL B-,Stable
,,Cash Credit Limit,CRISIL B-,Stable
,,Export Packing Credit limits,CRISIL A4,
TM Tyres Limited,Auto Components,Working Capital Term Loan,#,
,,Cash Credit Limit,#,
,,Term Loan Facilities,#,
,,Funded Interest Term Loan,#,
,,Proposed Long-Term Bank Facility,#,
,,Letter of Credit Limit,#,
TMA Infrastructure Private Limited,Construction & Engineering,Over Draft,CRISIL D,
,,Bank Guarantee limit,CRISIL D,
TMF Holdings Limited,Non Banking Financial Company,Non Convertible Debenture,CRISIL AA,Positive
,,Short Term Debt,CRISIL A1+,
TMI Healthcare Private Limited,Health Care Providers & Services,Long Term Bank Loan,CRISIL BB,Stable
TML Industries Limited,Chemicals,Proposed Long-Term Bank Facility,CRISIL BB,Negative
,,Term Loan Facilities,CRISIL BB,Negative
,,Working Capital Term Loan,CRISIL BB,Negative
,,Bill Discounting,CRISIL BB,Negative
,,Cash Credit Limit,CRISIL BB,Negative
,,Fixed Deposit,FB+,Negative
,,Letter of Credit Limit,CRISIL A4+,
,,Letter of Credit and Bank Guarantee,CRISIL A4+,
TMR Developers Private Limited,Real Estate Development,Term Loan Facilities,CRISIL B+,Stable
TNR Constructions,Real Estate Development,Term Loan Facilities,#,
TNR Constructions India Private Limited,Real Estate Development,Proposed Long-Term Bank Facility,CRISIL B+,Stable
TNS Heavy Engineering Private Limited,Machinery,Cash Credit Limit,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
TPC Techno Power Corporation LLP,Electronic Equipment Instruments & Components,Cash Credit Limit,#,
,,Bill Discounting Facility,#,
,,Letter of Credit and Bank Guarantee,#,
TPL Plastech Limited.,Containers & Packaging,Cash Credit Limit,CRISIL A,Positive
,,Long Term Bank Loan,CRISIL A,Positive
,,Proposed Long-Term Bank Facility,CRISIL A,Positive
,,Letter of Credit Limit,CRISIL A1,
,,Commercial Paper,CRISIL A1,
,,Bank Guarantee limit,CRISIL A1,
TPP Boilers Private Limited,Machinery,Cash Credit Limit,CRISIL BB,Stable
,,Letter of Credit Limit,CRISIL A4+,
,,Bank Guarantee limit,CRISIL A4+,
TPS Infrastructure Limited,Machinery,Cash Credit Limit,CRISIL BB,Stable
,,Long Term Bank Loan,CRISIL BB,Stable
