Company Name,Industry,Instrument,Rating,Outlook
DMB Paper Mills Private Limited,Paper & Forest Products,Long Term Bank Loan,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
DMK Petrotraders AND Carrier Private Limited,Distributors,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
,,Overdraft Facility,#,
DML Exim Private Limited,Distributors,Cash Credit Limit,CRISIL BB+,Stable
,,Packing Credits,CRISIL A4+,
DML World Trade Private Limited,Distributors,Over Draft,CRISIL BB+,Stable
,,Packing Credits,CRISIL A4+,
DMR Hospitals Private Limited,Health Care Providers & Services,Proposed Long-Term Bank Facility,CRISIL D,
,,Rupee Term Loans,CRISIL D,
,,Overdraft Facility,CRISIL D,
DMS Builders and Developers,Real Estate Development,Proposed Term Loan,CRISIL B+,Stable
DMW Cnc Solutions India Private Limited,Auto Components,Term Loan Facilities,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
,,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Bank Guarantee limit,CRISIL A4,
DN Paper Mill,Paper & Forest Products,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Term Loan Facilities,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
DNH Spinners Private Limited,Textiles- Apparel & Luxury Goods,Long Term Bank Loan,#,
,,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Bank Guarantee limit,#,
,,Letter of Credit Limit,#,
DNP Limited,Gas Utilities,Term Loan Facilities,#,
DNV Realty,Real Estate Development,Project Term Loan,CRISIL BB,Stable
DP Chocolates,Food Products,Term Loan Facilities,CRISIL BBB+,Stable
,,Cash Credit Limit,CRISIL BBB+,Stable
,,Proposed Cash Credit Limit,CRISIL BBB+,Stable
DP Cocoa Products Llp,Food Products,Proposed Long-Term Bank Facility,CRISIL BBB+,Stable
,,Cash Credit Limit,CRISIL BBB+,Stable
DPB Antibiotics,Distributors,Proposed Long-Term Bank Facility,CRISIL BB+,Positive
,,Cash Credit Limit,CRISIL BB+,Positive
,,Letter of Credit Limit,CRISIL A4+,
DPH Software Services Private Limited,IT Services,Proposed Long-Term Bank Facility,#,
,,Bank Guarantee limit,#,
,,Proposed Bank Guarantee,#,
DRA Industries Limited,Metals & Mining,Cash Credit Limit,CRISIL BB,Stable
,,Long Term Bank Loan,CRISIL BB,Stable
,,Letter of Credit Limit,CRISIL A4+,
DRK Metallurgical Private Limited,Metals & Mining,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Packing Credits,#,
DRN Hospitalities Private Limited,Hotels Restaurants & Leisure,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Long Term Bank Loan,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
DRN Infrastructure,Construction & Engineering,Cash Credit Limit,CRISIL BBB+,Positive
,,Proposed Long-Term Bank Facility,CRISIL BBB+,Positive
,,Bank Guarantee limit,CRISIL A2,
DRRK Foods Private Limited,Food Products,Cash Credit Limit,CRISIL BB+,Stable
,,Long Term Bank Loan,CRISIL BB+,Stable
,,Packing Credits,CRISIL A4+,
DRS Warehousing (North) Private Limited,Commercial Services & Supplies,Term Loan Facilities,#,
DRT-Anthea Aroma Chemicals Private Limited,Chemicals,Rupee Term Loans,#,
,,Cash Credit Limit,#,
