Company Name,Industry,Instrument,Rating,Outlook
,,Term Loan Facilities,CRISIL BB+,Stable
,,Bank Guarantee limit,CRISIL A4+,
Lahoti Motors Private Limited,Specialty Retail,Cash Credit Limit,CRISIL B+,Stable
,,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Term Loan Facilities,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
Lahoti Overseas Limited,Distributors,Cash Credit Limit,#,
,,Export Packing Credit limits,#,
,,Post Shipment Credit,#,
,,Pre Shipment,#,
Laila Nutraceuticals,Pharmaceuticals,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Long Term Bank Loan,CRISIL BB,Stable
,,Packing Credits,CRISIL A4+,
Laila Sugars Private Limited,Food Products,Long Term Bank Loan,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
,,Proposed Long-Term Bank Facility,CRISIL B,Stable
Lajjya Steels Limited,Trading Companies & Distributors,Cash Credit Limit,CRISIL D,
,,Proposed Long-Term Bank Facility,CRISIL D,
,,Stand by Line of Credit,CRISIL D,
Lakhani Armaan Shoes Private Limited,Engineering & Capital Goods,Cash Credit Limit,CRISIL D,
,,Term Loan Facilities,CRISIL D,
,,Letter of Credit Limit,CRISIL D,
,,Bill Purchase-Discounting Facility,CRISIL D,
Lakhani Footwear Private Limited,Engineering & Capital Goods,Proposed Long-Term Bank Facility,CRISIL D,
,,Term Loan Facilities,CRISIL D,
,,Cash Credit Limit,CRISIL D,
,,Letter of Credit Limit,CRISIL D,
,,Bill Purchase-Discounting Facility,CRISIL D,
Lakhani Rubber Products Private Limited,Engineering & Capital Goods,Cash Credit Limit,CRISIL D,
,,Term Loan Facilities,CRISIL D,
,,Proposed Long-Term Bank Facility,CRISIL D,
,,Bank Guarantee limit,CRISIL D,
,,Bill Purchase-Discounting Facility,CRISIL D,
,,Letter of Credit Limit,CRISIL D,
Lakhani Rubber Works,Engineering & Capital Goods,Term Loan Facilities,CRISIL D,
,,Cash Credit Limit,CRISIL D,
,,Proposed Long-Term Bank Facility,CRISIL D,
,,Bill Purchase-Discounting Facility,CRISIL D,
,,Letter of Credit Limit,CRISIL D,
,,Bank Guarantee limit,CRISIL D,
Lakhani Shoes and Apparels Private Limited,Engineering & Capital Goods,Cash Credit Limit,CRISIL D,
,,Bank Guarantee limit,CRISIL D,
,,Letter of Credit Limit,CRISIL D,
Lakhmi Chand Charitable Society ( Regd.),Diversified Consumer Services,Term Loan Facilities,#,
Lakho Agricultural and Food Products Private Limited,Food Products,Cash Credit Limit,CRISIL B+,Stable
,,Proposed Cash Credit Limit,CRISIL B+,Stable
Lakhotia Medical Centre Private Limited,Real Estate Development,Cash Credit Limit,#,
Lakhotia Transport Co. Private Limited,Road & Rail,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Bank Guarantee limit,#,
Lakhy Constructions,Construction & Engineering,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Overdraft Facility,CRISIL A4,
Lakme Vitrified LLP,Building Products,Term Loan Facilities,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
,,Stand by Line of Credit,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
Laksh Natural Stones Private Limited,Metals & Mining,Cash Credit Limit,#,
,,Stand by Line of Credit,#,
,,Proposed Long-Term Bank Facility,#,
,,Term Loan Facilities,#,
,,Letter of Credit Limit,#,
Lakshman Veer Steel Private Limited,Metals & Mining,Cash Credit Limit,CRISIL B+,Stable
Lakshman and Co.,Food Products,Pledge Loan,CRISIL B+,Stable
,,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Over Draft,CRISIL B+,Stable
,,Packing Credits,CRISIL A4,
,,Bill Discounting Facility,CRISIL A4,
Lakshmanan Isola Private Limited,Machinery,Export Packing Credit,#,
,,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
,,Bank Guarantee limit,#,
,,Foreign Discounting Bill Purchase,#,
,,Bills - Inland,#,
Lakshmi Balaji Prime Energy Private Limited,Distributors,Cash Credit Limit,#,
Lakshmi Card Clothing Manufacturing Company Private Limited,Machinery,Proposed Long-Term Bank Facility,CRISIL A-,Stable
,,Cash Credit Limit,CRISIL A-,Stable
,,Fixed Deposit,FA,Stable
,,Foreign Bill Purchase Limit,CRISIL A2+,
,,Bank Guarantee limit,CRISIL A2+,
,,Letter of Credit Limit,CRISIL A2+,
Lakshmi Ceramics,Trading Companies & Distributors,Long Term Bank Loan,CRISIL BBB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BBB-,Stable
,,Cash Credit Limit,CRISIL BBB-,Stable
Lakshmi Constructions,Construction & Engineering,Over Draft,#,
,,Bank Guarantee limit,#,
Lakshmi Cotfab Private Limited,Engineering & Capital Goods,Cash Credit Limit,CRISIL B,Stable
,,Term Loan Facilities,CRISIL B,Stable
Lakshmi Cotton Traders,Distributors,Cash Credit Limit,CRISIL B,Stable
Lakshmi Durga Drugs and Intermediates Private Limited,Pharmaceuticals,Long Term Bank Loan,CRISIL B+,Stable
,,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
,,Proposed Cash Credit Limit,CRISIL B+,Stable
,,Letter of Credit Limit,CRISIL A4,
Lakshmi Electrical Control Systems Limited,Electrical Equipment,Proposed Long-Term Bank Facility,CRISIL A-,Stable
,,Cash Credit Limit,CRISIL A-,Stable
,,Bank Guarantee limit,CRISIL A1,
,,Letter of Credit Limit,CRISIL A1,
Lakshmi Electrical Drives Limited,Machinery,Over Draft,CRISIL BBB+,Stable
,,Cash Credit Limit,CRISIL BBB+,Stable
,,Bill Purchase,CRISIL A2,
,,Overdraft Facility,CRISIL A2,
,,Bank Guarantee limit,CRISIL A2,
Lakshmi Energy and Foods Limited,Food Products,Cash Credit Limit,#,
Lakshmi Engineering and Drilling,Energy Equipment & Services,Cash Credit Limit,CRISIL BB-,Stable
Lakshmi Enterprises - Prakasam,Tobacco,Long Term Bank Loan,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
Lakshmi Float Glass Limited,Distributors,Working Capital Demand Loan,CRISIL BB,Stable
,,Cash Credit Limit,CRISIL BB,Stable
,,Fixed Deposit,FB+,Stable
Lakshmi Flour Mills,Food Products,Cash Credit Limit,#,
Lakshmi Ganapathi Ginners Private Limited,Textiles- Apparel & Luxury Goods,Cash Credit Limit,#,
,,Long Term Bank Loan,#,
,,Bank Guarantee limit,#,
Lakshmi Ganesha Textiles Limited,Textiles- Apparel & Luxury Goods,Cash Credit Limit,#,
,,Term Loan Facilities,#,
Lakshmi Gold Khazaanaa Private Limited,Engineering & Capital Goods,Proposed Long-Term Bank Facility,CRISIL BB+,Stable
,,Long Term Bank Loan,CRISIL BB+,Stable
,,Cash Credit Limit,CRISIL BB+,Stable
Lakshmi Infrastructure and Developers India Private Limited,Construction & Engineering,Proposed Cash Credit Limit,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
Lakshmi Narasimha Traders - Nellore,Food Products,Cash Credit Limit,CRISIL B+,Stable
Lakshmi Narayana Enterprises,Textiles- Apparel & Luxury Goods,Cash Credit Limit,#,
Lakshmi Precision Screws Limited,Auto Components,Working Capital Demand Loan,#,
,,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Term Loan Facilities,#,
,,Bill Discounting Facility,#,
,,Packing Credits,#,
,,Letter of Credit Limit,#,
,,Foreign Bill Discounting,#,
Lakshmi Precision Tools Limited,Machinery,Cash Credit Limit,CRISIL BBB,Stable
Lakshmi Rail Infra Private Limited,Construction Materials,Bank Loan,#,
Lakshmi Ranga Enterprises Private Limited,Distributors,Cash Credit Limit,CRISIL D,
,,Term Loan Facilities,CRISIL D,
Lakshmi Rice and Dall Mills,Food Products,Rupee Term Loans,#,
,,Cash Credit Limit,#,
Lakshmi Ring Travellers (Coimbatore) Limited,Machinery,Proposed Long-Term Bank Facility,CRISIL A-,Stable
,,Term Loan Facilities,CRISIL A-,Stable
,,Cash Credit Limit,CRISIL A-,Stable
,,Letter of Credit Limit,CRISIL A2+,
,,Bank Guarantee limit,CRISIL A2+,
Lakshmi Saai Agri Cold Storage Private Limited,Commercial Services & Supplies,Long Term Bank Loan,CRISIL B+,Stable
,,Proposed Working Capital Facility,CRISIL B+,Stable
Lakshmi Silvers,Engineering & Capital Goods,Proposed Long-Term Bank Facility,#,
Lakshmi Sovrn,Engineering & Capital Goods,Proposed Long-Term Bank Facility,#,
Lakshmi Steel Rolling Mills - Mandi Gobindgarh,Metals & Mining,Cash Credit Limit,CRISIL BB,Stable
Lakshmi Steel Rolling Mills - Unit II,Marine,Cash Credit Limit,CRISIL BB-,Stable
,,Foreign Exchange Forwards,CRISIL A4+,
,,Letter of Credit Limit,CRISIL A4+,
Lakshmi Technology and Engineering Industries Limited,Machinery,Long Term Bank Loan,CRISIL BBB-,Stable
,,Cash Credit Limit,CRISIL BBB-,Stable
,,Letter of Credit Limit,CRISIL A3,
,,Packing Credits,CRISIL A3,
,,Bank Guarantee limit,CRISIL A3,
Lakshmi Traders,Distributors,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
Lakshmi Traders - Chennai,Distributors,Proposed Working Capital Facility,CRISIL D,
,,Cash Credit Limit,CRISIL D,
Lakshmi Transformers and Electricals,Electronic Equipment Instruments & Components,Cash Credit Limit,CRISIL B+,Stable
,,Letter of Credit Limit,CRISIL A4,
,,Bank Guarantee limit,CRISIL A4,
Lakshmi Venkat Farms Limited,Food Products,Cash Credit Limit,CRISIL B,Stable
,,Proposed Cash Credit Limit,CRISIL B,Stable
,,Term Loan Facilities,CRISIL B,Stable
Lakshmi Venkata Ramana Publishers,Commercial Services & Supplies,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
,,Long Term Bank Loan,CRISIL B,Stable
Lakshmi Venkata Ramana Rice Mill,Food Products,Proposed Cash Credit Limit,#,
,,Cash Credit Limit,#,
Lakshmi sugar mills company private limited,Food Products,Long Term Bank Loan,CRISIL D,
,,Cash Credit Limit,CRISIL D,
,,Letter of Credit Limit,CRISIL D,
,,Bank Guarantee limit,CRISIL D,
Lakshmiganapati Automobiles Private Limited,Specialty Retail,Cash Credit Limit,#,
Lakshmigraha Enterprises,Distributors,Bill Discounting,CRISIL B,Stable
,,Buyers Credit,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
,,Channel Financing (LT),CRISIL B,Stable
Lakshmivel Mills Private Limited,Textiles- Apparel & Luxury Goods,Long Term Bank Loan,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
,,Bill Discounting Facility,#,
Lakshmy Jewellery,Engineering & Capital Goods,Cash Credit Limit,CRISIL BB,Stable
Lal Baba Industrial Corporation Private Limited,Machinery,Cash Credit Limit,CRISIL B+,Stable
,,Letter of Credit Limit,CRISIL A4,
Lal Baba Seamless Tubes Private Limited,Machinery,Term Loan Facilities,CRISIL B-,Stable
,,Cash Credit Limit,CRISIL B-,Stable
Lala Bhagwan Dass Educational Trust,Diversified Consumer Services,Rupee Term Loans,#,
Lala Harbhagwan Dass Memorial and Dr. Prem Hospital Private Limited,Health Care Providers & Services,Over Draft,CRISIL BB+,Stable
,,Term Loan Facilities,CRISIL BB+,Stable
,,Bank Guarantee limit,CRISIL A4+,
Lala Kashi Nath Seth Jewellers Private Limited,Engineering & Capital Goods,Cash Credit Limit,#,
Lala Madhoram Bhagwan Dass Charitable Society,Diversified Consumer Services,Over Draft,CRISIL B+,Stable
,,Rupee Term Loans,CRISIL B+,Stable
,,Proposed Long-Term Bank Facility,CRISIL B+,Stable
Lala Munni Lal Mange Ram Charitable Trust,Health Care Providers & Services,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Term Loan Facilities,#,
Lala Nemi Chand Educational Trust,Diversified Consumer Services,Term Loan Facilities,CRISIL B-,Stable
Lalbhai Kalidas and Co.,Engineering & Capital Goods,Post Shipment Credits,CRISIL BB,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB,Stable
Lalchand Gem AND Jewellers Private Limited,Engineering & Capital Goods,Cash Credit Limit,CRISIL BB-,Stable
Lalchand Jewellers Private Limited,Engineering & Capital Goods,Cash Credit Limit,CRISIL BB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
Lalchand Mangaldas Soni Gems and Jewellers Private Limited,Engineering & Capital Goods,Long Term Bank Loan,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
Lalit Mining And Petrochemicals Private Limited,Distributors,Cash Credit Limit,CRISIL B-,Stable
,,Letter of Credit Limit,CRISIL A4,
Lalit Pipes and Pipes Limited,Machinery,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Cash Credit Limit,CRISIL BB,Stable
,,Proposed Short Term Bank Facility,CRISIL A4+,
,,Bank Guarantee limit,CRISIL A4+,
Lalit Polyplast Private Limited,Distributors,Cash Credit Limit,CRISIL B+,Stable
Laljee Godhoo and Co.,Food Products,Cash Credit Limit,CRISIL BBB-,Stable
Lall Construction Co.,Construction & Engineering,Cash Credit Limit,CRISIL BB,Stable
,,Bank Guarantee limit,CRISIL A4+,
Lama Bear Organic Extract Limited,Food Products,Proposed Long-Term Bank Facility,CRISIL B,Stable
Lamba Food Products,Household Products,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
Lambda Eastern Telecommunication Limited,Wireless Telecommunication Services,Rupee Term Loans,#,
,,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
Lambda Microwave Technologies,Wireless Telecommunication Services,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Letter of Credit and Bank Guarantee,#,
Lamifab Industries,Containers & Packaging,Working Capital Term Loan,CRISIL BB,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Cash Credit Limit,CRISIL BB,Stable
,,Term Loan Facilities,CRISIL BB,Stable
,,Foreign Exchange Forwards,CRISIL A4+,
,,Inland/Import Letter of Credit,CRISIL A4+,
,,Bank Guarantee limit,CRISIL A4+,
Lamina Foundries Limited,Auto Components,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Working Capital Demand Loan,CRISIL BB-,Stable
,,Fund & Non Fund Based Limits,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
,,Letter of Credit and Bank Guarantee,CRISIL A4+,
,,Foreign Bill Purchase Limit,CRISIL A4+,
Lamina International,Auto Components,Export Packing Credit limits,CRISIL A4+,
,,Foreign Bill Purchase Limit,CRISIL A4+,
Lamina Suspension Products Limited,Auto Components,Over Draft,CRISIL BB-,Stable
