Company Name,Industry,Instrument,Rating,Outlook
,,Proposed Long-Term Bank Facility,#,
,,Letter of Credit and Bank Guarantee,#,
BHRUNDA Infra Private Limited,Construction & Engineering,Cash Credit Limit,CRISIL BB+,Stable
,,Bank Guarantee limit,CRISIL A4+,
BIC Chemicals and Packagings Private Limited,Containers & Packaging,Cash Credit Limit,CRISIL B+,Stable
,,Inland/Import Letter of Credit,CRISIL A4,
BIL Continental Limited,Household Durables,Post Shipment Credit,CRISIL A4+,
,,Packing Credit in Foreign Currency,CRISIL A4+,
BIL Energy Systems Limited,Electrical Equipment,Cash Credit Limit,#,
,,Corporate Loan,#,
,,Proposed Long-Term Bank Facility,#,
,,Letter of Credit and Bank Guarantee,#,
BJS Motors Private Limited,Specialty Retail,Inventory Funding,CRISIL BB,Stable
,,Long Term Bank Loan,CRISIL BB,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Overdraft Facility,CRISIL A4+,
BKB Transport Private Limited,Road & Rail,Cash Credit Limit,CRISIL BB+,Stable
,,Bank Guarantee limit,CRISIL A4+,
,,Overdraft Facility,CRISIL A4+,
BKN Developers Private Limited,Real Estate Development,Long Term Bank Loan,#,
BKR Hotels,Hotels Restaurants & Leisure,Cash Credit/ Overdraft facility,#,
,,Proposed Long-Term Bank Facility,#,
,,Long Term Bank Loan,#,
BKR Hotels and Resorts Private Limited,Hotels Restaurants & Leisure,Term Loan Facilities,#,
,,Proposed Long-Term Bank Facility,#,
,,Cash Credit/ Overdraft facility,#,
BKSons Infrastructure Pvt Ltd,Construction & Engineering,Cash Credit Limit,CRISIL BB,Stable
,,Bank Guarantee limit,CRISIL A4+,
BL Food Industries,Food Products,Open Cash Credit,CRISIL B,Stable
,,Term Loan Facilities,CRISIL B,Stable
,,Foreign Bill Discounting Limit,CRISIL B,Stable
,,Packing Credits,CRISIL A4,
BL Kashyap and Sons Limited,Construction & Engineering,Cash Credit Limit,CRISIL D,
,,Cheque Discounting,CRISIL D,
,,Bank Guarantee limit,CRISIL D,
BLA Projects Private Limited,Metals & Mining,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Term Loan Facilities,#,
,,Bank Guarantee limit,#,
BLA Udyog Private Limited,Distributors,Cash Credit Limit,#,
,,Stand by Line of Credit,#,
,,Letter of Credit Limit,#,
BLAUMANN INDUSTRIES PRIVATE LIMITED,Textiles- Apparel & Luxury Goods,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
BLDE Association,Diversified Consumer Services,Term Loan Facilities,#,
,,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
BLG Electronics Limited,Electronic Equipment Instruments & Components,Cash Credit Limit,#,
,,Term Loan Facilities,#,
BLP Vayu (Project 1) Private Limited,Electric Utilities,Proposed Long-Term Bank Facility,CRISIL BBB+,Positive
,,Rupee Term Loans,CRISIL BBB+,Positive
BLR Logistiks India Limited,Road & Rail,Cash Credit Limit,CRISIL BBB,Negative
,,Proposed Long-Term Bank Facility,CRISIL BBB,Negative
,,Term Loan Facilities,CRISIL BBB,Negative
,,Bank Guarantee limit,CRISIL A3+,
BLS Ecotech Limited,Chemicals,Proposed Long-Term Bank Facility,CRISIL BBB,Stable
,,Term Loan Facilities,CRISIL BBB,Stable
,,Cash Credit Limit,CRISIL BBB,Stable
,,Letter of Credit Limit,CRISIL A3+,
BLS International Services Limited,IT Services,Bank Guarantee limit,CRISIL A2,
BM Developers,Real Estate Development,Term Loan Facilities,#,
BMA Stainless Limited,Metals & Mining,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
,,Letter of Credit Limit,#,
BMC Ferrocast Private Limited,Auto Components,Term Loan Facilities,#,
,,Cash Credit Limit,#,
BMR Exports,Food Products,Packing Credits,CRISIL A4+,
BMR Industries Private Limited,Food Products,Term Loan Facilities,CRISIL BB+,Positive
,,Cash Credit Limit,CRISIL BB+,Positive
,,Foreign Currency Term Loan,CRISIL BB+,Positive
,,Export Packing Credit,CRISIL BB+,Positive
,,Letter of Credit Limit,CRISIL A4+,
BMV Exim Private Limited,Engineering & Capital Goods,Foreign Bill Discounting Limit,#,
,,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Packing Credits,#,
BMW India Financial Services Private Limited,Non Banking Financial Company,Non Convertible Debenture,CRISIL AAA,Stable
,,Bond,CRISIL AAA,Stable
,,Commercial Paper,CRISIL A1+,
BMW Industries Limited,Metals & Mining,Term Loan Facilities,#,
,,Cash Credit Limit,#,
BMW Iron and Steel Industries Limited,Metals & Mining,Long Term Bank Loan,CRISIL BB,Stable
BMW Steels Limited,Machinery,Cash Credit Limit,#,
,,Long Term Bank Loan,#,
,,Letter of Credit Limit,#,
,,Bank Guarantee limit,#,
BN Sponge Iron Private Limited,Containers & Packaging,Cash Credit Limit,#,
,,Term Loan Facilities,#,
BNP Paribas,Banks,Fixed Deposit,FAAA,Stable
,,Certificate of Deposit,CRISIL A1+,
BNP Paribas Global Securities Operations Private Limited,IT Services,Term Loan Facilities,CRISIL AAA,Stable
,,Proposed Long-Term Bank Facility,CRISIL AAA,Stable
,,Cash Credit Limit,CRISIL AAA,Stable
,,Bank Guarantee limit,CRISIL A1+,
BNP Paribas India Solutions Private Limited,Software,Working Capital Demand Loan,CRISIL AAA,Stable
BNP Paribas Overnight Fund,Asset Management Company,Credit Quality Ratings,CRISIL AAAmfs,
BNP Paribas Securities India Private Limited,Broking Company,Over Draft,CRISIL AAA,Stable
BNR Egg Farms,Food Products,Proposed Cash Credit Limit,CRISIL B,Stable
,,Long Term Bank Loan,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
BNR Infra and Leasing,Construction & Engineering,Cash Credit Limit,#,
,,Proposed Cash Credit Limit,#,
,,Bank Guarantee limit,#,
BNR Infrastructure Projects Private Limited,Construction & Engineering,Cash Credit Limit,#,
BNR Overseas Private Limited,Distributors,Cash Credit Limit,CRISIL BB+,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB+,Stable
BOB Capital Markets Limited,Non Banking Financial Company,Corporate Credit Rating,CCR AAA,Negative
BOI AXA Liquid Fund,Asset Management Company,Credit Quality Ratings,CRISIL AAAmfs,
BP Plyboard Private Limited,Construction Materials,Proposed Fund-Based Bank Limits,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
,,Term Loan Facilities,CRISIL B+,Stable
,,Letter of Credit Limit,CRISIL A4,
,,Letter Of Guarantee,CRISIL A4,
BP Sangle Constructions Private Limited,Construction & Engineering,Cash Credit Limit,CRISIL BBB-,Stable
,,Bank Guarantee limit,CRISIL A3,
BPL Techno Vision Private Limited,Household Durables,Cash Credit Limit,CRISIL B-,Stable
BRC Infra Private Limited,Real Estate Development,Secured Overdraft Facility,CRISIL BB-,Stable
BRD Securities Limited,Non Banking Financial Company,Proposed Long-Term Bank Facility,CRISIL BB,Negative
,,Over Draft,CRISIL BB,Negative
BRGD Ingot Private Limited,Metals & Mining,Cash Credit Limit,CRISIL BB,Stable
,,Rupee Term Loans,CRISIL BB,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Packing Credits,CRISIL A4+,
,,Letter of Credit Limit,CRISIL A4+,
BRINDCO SALES Private Limited,Distributors,Cash Credit Limit,CRISIL A-,Stable
BRT Spinners Private Limited,Textiles- Apparel & Luxury Goods,Long Term Bank Loan,#,
,,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
BS Mining Corporation Private Limited,Metals & Mining,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
,,Bank Guarantee limit,CRISIL A4,
BSA Steels Private Limited,Distributors,Adhoc Limits,#,
,,Cash Credit Limit,#,
,,Bill Discounting under Letter of Credit,#,
BSBK Private Limited,Construction & Engineering,Term Loan Facilities,CRISIL BBB,Stable
,,Cash Credit Limit,CRISIL BBB,Stable
,,Long Term Bank Loan,CRISIL BBB,Stable
,,Proposed Long-Term Bank Facility,CRISIL BBB,Stable
,,Letter of Credit Limit,CRISIL A3+,
,,Bank Guarantee limit,CRISIL A3+,
BSCC Infrastructure Private Limited,Construction & Engineering,Cash Credit Limit,CRISIL B-,Stable
,,Long Term Bank Loan,CRISIL B-,Stable
,,Proposed Long-Term Bank Facility,CRISIL B-,Stable
,,Bank Guarantee limit,CRISIL A4,
BSCPL Infrastructure Limited,Construction & Engineering,Proposed Long-Term Bank Facility,CRISIL D,
,,Cash Credit Limit,CRISIL D,
,,Term Loan Facilities,CRISIL D,
