Company Name,Industry,Instrument,Rating,Outlook
East End Technologies Private Limited,Construction & Engineering,Cash Credit Limit,CRISIL B+,Stable
,,Proposed Bank Guarantee ? Long-Term,CRISIL B+,Stable
,,Proposed Cash Credit Limit,CRISIL B+,Stable
,,Standby Fund-Based Limits,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
East Hooghly Polyplast Private Limited,Containers & Packaging,Term Loan Facilities,#,
,,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
East India Commercial Co Limited,Engineering & Capital Goods,Proposed Long-Term Bank Facility,CRISIL BBB,Negative
,,Long Term Bank Loan,CRISIL BBB,Negative
,,Cash Credit Limit,CRISIL BBB,Negative
,,Bank Guarantee limit,CRISIL A3+,
,,Inland/Import Letter of Credit,CRISIL A3+,
East India Construction Co.,Construction & Engineering,Proposed Fund-Based Bank Limits,CRISIL BB+,Stable
,,Overdraft Facility,CRISIL A4+,
,,Bank Guarantee limit,CRISIL A4+,
East India Holdings Private Limited,Metals & Mining,Cash Credit Limit,CRISIL BB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Letter of Credit Limit,CRISIL A4+,
East India Packaging Private Limited,Containers & Packaging,Long Term Bank Loan,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
,,Proposed Long-Term Bank Facility,CRISIL B+,Stable
East India Spirits and Beer Distributors Private Limited,Distributors,Cash Credit Limit,#,
East India Steels Limited,Metals & Mining,Cash Credit Limit,#,
,,Stand by Line of Credit,#,
,,Rupee Term Loans,#,
,,Bank Guarantee limit,#,
,,Letter of Credit Limit,#,
East India Technologies Private Limited,Containers & Packaging,Cash Credit Limit,#,
,,Stand by Line of Credit,#,
,,Rupee Term Loans,#,
,,Letter of Credit Limit,#,
,,Bank Guarantee limit,#,
East India Udyog Limited,Electronic Equipment Instruments & Components,Proposed Long-Term Bank Facility,CRISIL BBB,Negative
,,Cash Credit Limit,CRISIL BBB,Negative
,,Proposed Short Term Bank Facility,CRISIL A3+,
,,Bank Guarantee limit,CRISIL A3+,
,,Letter of Credit Limit,CRISIL A3+,
East North Interconnection Company Limited,Electric Utilities,Non Convertible Debenture(SO),CRISIL AAA(SO),Stable
East West Combined Industries,Household Durables,Over Draft,CRISIL B+,Stable
,,Bill Discounting under Letter of Credit,CRISIL A4,
,,Proposed Short Term Bank Facility,CRISIL A4,
East West Products Limited,Containers & Packaging,Cash Credit Limit,CRISIL BBB-,Stable
,,Term Loan Facilities,CRISIL BBB-,Stable
Eastern Alloys Private Limited,Metals & Mining,Term Loan Facilities,#,
,,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
,,Bank Guarantee limit,#,
Eastern Bearings Private Limited,Auto Components,Rupee Term Loans,#,
,,Cash Credit Limit,#,
,,Working Capital Demand Loan,#,
,,Letter of Credit Limit,#,
Eastern Chrome Tanning Corporation Private Limited,Textiles- Apparel & Luxury Goods,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Letter of Credit and Bank Guarantee,#,
,,Foreign Bill Discounting,#,
,,Export Packing Credit limits,#,
Eastern Condiments Private Limited,Food Products,Packing Credit,CRISIL A,Stable
,,Cash Credit Limit,CRISIL A,Stable
,,Proposed Long-Term Bank Facility,CRISIL A,Stable
,,Short-Term Loan,CRISIL A1,
,,Bank Guarantee limit,CRISIL A1,
,,Commercial Paper,CRISIL A1,
Eastern Construction Co.,Construction & Engineering,Cash Credit Limit,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
Eastern Enterprises,Distributors,Cash Credit Limit,CRISIL BB+,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB+,Stable
Eastern Foods Private Limited,Food Products,Cash Credit Limit,CRISIL BBB-,Stable
,,Bank Guarantee limit,CRISIL A3,
Eastern Gourmet Private Limited,Food Products,Term Loan Facilities,#,
,,Cash Credit Limit,#,
Eastern Home Industries,Household Durables,Packing Credits,CRISIL A4+,
