Count,Sr.No.,Instrument,Company Name,Intial Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
81,81,BLR,A.K. Soni Hosiery Mills Private Limited,CARE A4,18-04-16,CARE D,14-04-17,CARE D; INC,26-04-18,,,,,,,,,,,,,,,,
82,82,BLR,A.M. Rice Mills,CARE B+,12-01-16,CARE B+; INC,23-03-17,,,,,,,,,,,,,,,,,,
83,83,BLR,A.M. Rice Mills,CARE A4,12-01-16,CARE A4; INC,23-03-17,,,,,,,,,,,,,,,,,,
84,84,BLR,A.M. Rice Mills,CARE A4,12-01-16,CARE A4; INC,23-03-17,,,,,,,,,,,,,,,,,,
85,85,BLR,A.P. International,CARE B+; Stable,23-01-18,,,,,,,,,,,,,,,,,,,,
86,86,BLR,A.P. International,CARE B+; Stable,23-01-18,,,,,,,,,,,,,,,,,,,,
87,87,BLR,A.P. Refinery Private Limited,CARE BBB,20-10-15,CARE BBB; Stable,17-01-17,,,,,,,,,,,,,,,,,,
88,88,BLR,A.P. Refinery Private Limited,CARE BBB,29-04-15,CARE BBB; Stable,17-01-17,,,,,,,,,,,,,,,,,,
89,89,BLR,A.R. Stanchem Private Limited,CARE A-; Stable,08-01-18,,,,,,,,,,,,,,,,,,,,
90,90,BLR,A.R. Stanchem Private Limited,CARE A-; Stable / CARE A2+,08-01-18,,,,,,,,,,,,,,,,,,,,
91,91,BLR,A.R.C. Mills Private Limited,CARE A4,20-04-16,,,,,,,,,,,,,,,,,,,,
92,92,BLR,A.R.C. Mills Private Limited,CARE A4,20-04-16,,,,,,,,,,,,,,,,,,,,
93,93,BLR,A.R.C. Mills Private Limited,CARE B+,23-01-12,CARE B+; Stable,05-12-16,,,,,,,,,,,,,,,,,,
94,94,BLR,A.R.C. Mills Private Limited,CARE B+,23-01-12,CARE B+; Stable,05-12-16,,,,,,,,,,,,,,,,,,
95,95,BLR,A.S. Motors Private Limited,CARE BB-,15-03-12,CARE B+,11-02-13,CARE B+; Stable,14-03-17,CARE B+; INC,19-02-18,,,,,,,,,,,,,,
96,96,BLR,A.S.Betgeri,CARE BB-; Stable,12-04-17,CARE B+; Stable,09-02-18,,,,,,,,,,,,,,,,,,
97,97,BLR,A.S.Betgeri,CARE A4,12-04-17,,,,,,,,,,,,,,,,,,,,
98,98,BLR,A.S.Patel,CARE BB-; Stable,09-08-17,,,,,,,,,,,,,,,,,,,,
99,99,BLR,A.S.Patel,CARE A4,09-08-17,,,,,,,,,,,,,,,,,,,,
