"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
57,ACORE INDUSTRIES PRIVATE LIMITED,SMERA B,12-Apr-16,Indicative,08-Jul-17,-,-,-,-,-,-,-,-
58,ACTION UDHYOG PRIVATE LIMITED,SMERA B+,02-Sep-14,Suspended,07-Dec-15,-,-,-,-,-,-,-,-
59,ADANI ENTERPRISES LIMITED,SMERA A1+,06-Jun-17,-,-,-,-,-,-,-,-,-,-
60,ADANI PHARMACHEM PRIVATE LIMITED,SMERA BB+/SMERA A4+,08-May-15,-,-,-,-,-,-,-,-,-,-
61,ADARSH FOOD PRODUCTS PRIVATE LIMITED,SMERA B+,11-Sep-14,Suspended,11-Dec-15,-,-,-,-,-,-,-,-
62,ADESHWAR MEDITEX PRIVATE LIMITED,SMERA BB-/SMERA A4+,04-Jan-17,-,-,-,-,-,-,-,-,-,-
63,ADINATH INDUSTRIES,SMERA BB/SMERA A4+,27-Oct-15,Indicative,08-Feb-17,-,-,-,-,-,-,-,-
64,ADITYA ALUMINIUM,SMERA B/SMERA A4,17-Sep-14,Suspended,26-Dec-15,-,-,-,-,-,-,-,-
65,ADITYA AUTO INDUSTRIES,SMERA BB+,21-Feb-18,-,-,-,-,-,-,-,-,-,-
66,ADITYA CARS PRIVATE LIMITED,SMERA B+/SMERA A4,11-Jun-14,Suspended,23-Nov-16,-,-,-,-,-,-,-,-
67,ADITYA TRANSLINK PRIVATE LIMITED,SMERA BBB-/SMERA A3,19-Jan-17,-,-,-,-,-,-,-,-,-,-
68,ADITYA ULTRA STEEL PRIVATE LIMITED,SMERA BB-/SMERA A4+,27-Jul-17,Withdrawn,12-Mar-18,-,-,-,-,-,-,-,-
69,ADSYNDICATE SERVICES PRIVATE LIMITED,SMERA BB+,18-Oct-16,SMERA BBB-,18-Dec-17,-,-,-,-,-,-,-,-
70,ADURA FOUNDATION,SMERA B+/SMERA A4,12-Jan-17,Indicative,08-Jan-18,-,-,-,-,-,-,-,-
71,ADVAITA HOMES,SMERA B,11-Aug-15,Indicative,16-Jan-18,-,-,-,-,-,-,-,-
72,ADVANCE STEEL AND TUBE MILLS,SMERA B-/SMERA A4,18-Nov-16,SMERA B+/SMERA A4,21-Feb-18,-,-,-,-,-,-,-,-
73,ADVEN TYRE TUBE INDIA PRIVATE LIMITED,SMERA B+/SMERA A4,01-Jun-15,Suspended,28-Jul-16,-,-,-,-,-,-,-,-
74,ADVENT HEALTH CARE & HI-TECH PRODUCTS,SMERA B/SMERA A4,05-Jun-15,Suspended,10-Sep-16,-,-,-,-,-,-,-,-
75,AEON FORMULATIONS PRIVATE LIMITED,SMERA BB,21-Mar-18,-,-,-,-,-,-,-,-,-,-
76,AEROTHERM PRODUCTS,SMERA B+/SMERA A4,27-Apr-17,-,-,-,-,-,-,-,-,-,-
77,AESTHETIC STAMPINGS AND LAMINATIONS LIMITED,SMERA BB-/SMERA A4+,26-Jul-17,-,-,-,-,-,-,-,-,-,-
78,AGARWAL PACKERS & MOVERS LIMITED,SMERA BBB-/SMERA A3,28-Aug-14,Suspended,11-Sep-15,-,-,-,-,-,-,-,-
79,AGARWAL TMT INDUSTRIES PRIVATE LIMITED,SMERA B/SMERA A4,16-Sep-14,SMERA B+/SMERA A4,01-Dec-15,Indicative,07-Mar-18,-,-,-,-,-,-
80,AGGARWAL FIBERS PRIVATE LIMITED,SMERA BB-,12-Feb-18,-,-,-,-,-,-,-,-,-,-
81,AGGARWAL HOSPITAL & RESEARCH SERVICES PRIVATE LIMITED,SMERA B+,21-May-14,Suspended,11-Sep-15,SMERA BB,04-Feb-16,Indicative,31-Mar-17,-,-,-,-
82,AGILE SECURITY FORCE PRIVATE LIMITED,SMERA BBB/SMERA A3+,13-Apr-15,Indicative,15-Nov-17,-,-,-,-,-,-,-,-
83,AGRAWAL ASSOCIATES,SMERA B+,13-Dec-17,-,-,-,-,-,-,-,-,-,-
84,AGRAWAL METAL WORKS PRIVATE LIMITED,SMERA A-/SMERA A2+,04-Oct-13,SMERA A/SMERA A1,28-Feb-18,-,-,-,-,-,-,-,-
85,AGROFLEX REINFORCE INC,SMERA B-/SMERA A4,04-Mar-15,Indicative,31-Aug-17,-,-,-,-,-,-,-,-
86,AHINSA INFRASTRUCTURE AND DEVELOPERS LIMITED,SMERA B,04-Jun-15,Indicative,15-Sep-17,-,-,-,-,-,-,-,-
87,AHMEDABAD STRIPS PRIVATE LIMITED,SMERA BBB/SMERA A3+,29-Feb-16,SMERA BBB+/SMERA A2,14-Mar-18,-,-,-,-,-,-,-,-
88,AICO FOODS LIMITED,SMERA B+/SMERA A4,21-Mar-18,-,-,-,-,-,-,-,-,-,-
89,AIKYA CHEMICALS PRIVATE LIMITED,SMERA B-/SMERA A4,03-Jun-14,Suspended,07-Sep-15,-,-,-,-,-,-,-,-
90,AIR CONTROL AND CHEMICAL ENGINEERING COMPANY LIMITED,SMERA B+/SMERA A4,30-Dec-15,Indicative,26-Mar-18,-,-,-,-,-,-,-,-
91,AIR TRANSPORT CORPORATION(ASSAM) PRIVATE LIMITED,SMERA BB/SMERA A4+,04-May-15,Suspended,29-Jun-16,-,-,-,-,-,-,-,-
92,AISHWARYA REGENCY,SMERA D,02-Jul-13,Suspended,28-Dec-15,-,-,-,-,-,-,-,-
93,AJANTHA WOOD SUPPLIERS,SMERA B+,02-Feb-15,Suspended,02-May-16,-,-,-,-,-,-,-,-
94,AJAY INDIA LIMITED,SMERA BB-,29-Mar-18,-,-,-,-,-,-,-,-,-,-
