"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
3082,STRONG PLANT INFRASTRUCTURE PRIVATE LIMITED,SMERA B,24-Aug-16,Indicative,16-Jan-18,-,-,-,-,-,-,-,-
3083,STUTI PIPES PRIVATE LIMITED,SMERA B+/SMERA A4,01-Sep-16,-,-,-,-,-,-,-,-,-,-
3084,SU SOLAR TECH SYSTEM PRIVATE LIMITED,SMERA B/SMERA A4,09-Jun-15,Suspended,22-Sep-16,SMERA B+/SMERA A4,03-Oct-17,-,-,-,-,-,-
3085,SUBAYA CONSTRUCTIONS COMPANY LIMITED,SMERA BB/SMERA A4+,21-Apr-17,-,-,-,-,-,-,-,-,-,-
3086,SUBBIAH MATCHES,SMERA BB-,20-Nov-17,-,-,-,-,-,-,-,-,-,-
3087,SUBHANI SEEDS,SMERA B,23-May-17,-,-,-,-,-,-,-,-,-,-
3088,SUBHLENE FABRICS,SMERA B+,17-Jul-15,Suspended,31-Aug-16,-,-,-,-,-,-,-,-
3089,SUBRA ENTERPRISES,SMERA B/SMERA A4,13-Jul-17,-,-,-,-,-,-,-,-,-,-
3090,SUBRATA KUNDU CONSTRUCTION COMPANY PRIVATE LIMITED,SMERA B/SMERA A4,30-May-17,-,-,-,-,-,-,-,-,-,-
3091,SUCHI FASTENERS PRIVATE LIMITED,SMERA B/SMERA A4,20-Jul-15,SMERA B+/SMERA A4,07-Sep-16,Indicative,11-Jan-18,-,-,-,-,-,-
3092,SUDALAGUNTA AGRO MILLS LIMITED,SMERA B/SMERA A4,13-Aug-15,-,-,-,-,-,-,-,-,-,-
3093,SUDALAGUNTA FLOUR MILLS LIMITED,SMERA B/SMERA A4,13-Aug-15,-,-,-,-,-,-,-,-,-,-
3094,SUDARSHAN PHARMA INDUSTRIES LIMITED,SMERA B,05-Oct-17,-,-,-,-,-,-,-,-,-,-
3095,SUFALAM INFRA PROJECTS LIMITED,SMERA B+,12-Sep-16,-,-,-,-,-,-,-,-,-,-
3096,SUGESAN TRANSPORT PRIVATE LIMITED,SMERA C/SMERA A4,23-Aug-17,-,-,-,-,-,-,-,-,-,-
3097,SUGNA METALS LIMITED,SMERA B/SMERA A4,19-Apr-16,Withdrawn,01-Sep-17,-,-,-,-,-,-,-,-
3098,SUHANI TRADING AND INVESTMENT CONSULTANTS PRIVATE LIM,STMEDERA Provisional AA-(SO),30-Dec-17,-,-,-,-,-,-,-,-,-,-
3099,SUKEE ENTERPRISES,SMERA BB,05-Feb-18,-,-,-,-,-,-,-,-,-,-
3100,SULAX TECHNOLOGIES PRIVATE LIMITED,SMERA BB,29-Jan-18,-,-,-,-,-,-,-,-,-,-
3101,SUMAJA ELECTROINFRA PRIVATE LIMITED,SMERA B+/SMERA A4,08-Jun-15,SMERA BB-/SMERA A4,20-Jun-16,-,-,-,-,-,-,-,-
3102,SUMAN JEWELLERY,SMERA BB-,19-Aug-15,Suspended,28-Nov-16,-,-,-,-,-,-,-,-
3103,SUMANGALAM DEVELOPERS,SMERA BB+,28-Mar-18,-,-,-,-,-,-,-,-,-,-
3104,SUMANGALEE JEWELLERS,SMERA B+,16-Jul-14,-,-,-,-,-,-,-,-,-,-
3105,SUMEET FACILITIES PRIVATE LIMITED,SMERA BB-/SMERA A4,02-Aug-17,-,-,-,-,-,-,-,-,-,-
3106,SUMER SONS AUTOTECH PRIVATE LIMITED,SMERA B/SMERA A4,31-Mar-16,Indicative,23-Jun-17,-,-,-,-,-,-,-,-
3107,SUMMIT CORPORATION PRIVATE LIMITED,SMERA B-/SMERA A4,30-Mar-17,-,-,-,-,-,-,-,-,-,-
3108,SUN ACRYLIC PRIVATE LIMITED,SMERA B/SMERA A4,18-May-16,-,-,-,-,-,-,-,-,-,-
3109,SUN AGRIFRESH INDUSTRIES PRIVATE LIMITED,SMERA BB+/SMERA A4+,24-Dec-14,Suspended,25-Feb-16,SMERA B+/SMERA A4,12-Aug-17,-,-,-,-,-,-
3110,SUN BLUES,SMERA B+,04-Sep-14,-,-,-,-,-,-,-,-,-,-
3111,SUN PAPER MILL LIMITED,SMERA BBB-/SMERA A3,05-Jan-18,-,-,-,-,-,-,-,-,-,-
3112,SUN SHINE RICE UNIT,SMERA BB,19-Dec-17,-,-,-,-,-,-,-,-,-,-
3113,SUN THERMO PROCESS,SMERA B,23-Mar-18,-,-,-,-,-,-,-,-,-,-
3114,SUNBEAM APPLIANCES,SMERA B+/SMERA A4,21-Mar-14,Suspended,07-Jul-15,-,-,-,-,-,-,-,-
3115,SUNGLOSS CERAMIC INDUSTRIES,SMERA B+/SMERA A4,11-Sep-14,Suspended,17-Dec-15,-,-,-,-,-,-,-,-
3116,SUNGRACE ENERGY SOLUTIONS PRIVATE LIMITED,SMERA BB-/SMERA A4,13-Oct-17,-,-,-,-,-,-,-,-,-,-
3117,SUNIL KUMAR AGRAWAL LLP,SMERA BBB/SMERA A3+,07-Mar-18,-,-,-,-,-,-,-,-,-,-
3118,SUNRISE DAIRY PRIVATE LIMITED,SMERA A+,15-Jan-18,Withdrawn,12-Feb-18,-,-,-,-,-,-,-,-
3119,SUNRISE DISTRIBUTORS,SMERA B,31-Jan-13,SMERA B-,28-Jan-14,SMERA B,18-Feb-16,-,-,-,-,-,-
"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
3120,SUNRISE SALES LIMITED,SMERA B-/SMERA A4,02-Jul-14,Suspended,14-Oct-15,-,-,-,-,-,-,-,-
3121,SUNSHINE CARS PRIVATE LIMITED,SMERA B+,12-Sep-16,-,-,-,-,-,-,-,-,-,-
3122,SUNSHINE INFRA ENGINEERS INDIA PRIVATE LIMITED,SMERA BBB-/SMERA A3,16-Jan-18,-,-,-,-,-,-,-,-,-,-
3123,SUNVIK STEELS PRIVATE LIMITED,SMERA BBB/SMERA A3+,26-Nov-15,-,-,-,-,-,-,-,-,-,-
3124,SUPER GOLD PIPES PRIVATE LIMITED,SMERA B-/SMERA A4,23-Jan-14,Suspended,22-May-15,-,-,-,-,-,-,-,-
3125,SUPER HYGIENE PRODUCTS PRIVATE LIMITED,SMERA B+/SMERA A4,12-Dec-16,Indicative,28-Feb-18,-,-,-,-,-,-,-,-
3126,SUPPLE TEK INDUSTRIES PRIVATE LIMITED,SMERA BBB+,12-Dec-14,SMERA BBB,16-Oct-15,SMERA BBB+,01-Nov-17,-,-,-,-,-,-
3127,SUPRA STEEL AND POWER PRIVATE LIMITED,SMERA B,02-Aug-17,-,-,-,-,-,-,-,-,-,-
3128,SUPREME GUMS PRIVATE LIMITED,SMERA BBB-/SMERA A3,26-Jun-15,-,-,-,-,-,-,-,-,-,-
3129,SUPREME HEATREATERS PRIVATE LIMITED,SMERA BB/SMERA A4+,12-Jul-16,SMERA BB+/SMERA A4+,23-Oct-17,-,-,-,-,-,-,-,-
3130,SUPREME PARRADISE,SMERA BB+,03-May-17,-,-,-,-,-,-,-,-,-,-
3131,SUPREME SOLAR PROJECTS PRIVATE LIMITED,SMERA BB,28-Feb-18,-,-,-,-,-,-,-,-,-,-
3132,SUPTHA MAHALAKSHMI STEELS REROLLING MILLS,SMERA B+,30-Nov-17,-,-,-,-,-,-,-,-,-,-
3133,SURAJ CROPSCIENCES LIMITED,SMERA BB-,31-Jul-15,Suspended,24-Oct-16,-,-,-,-,-,-,-,-
3134,SURAJ PRECISION ENGINEERING WORKS PRIVATE LIMITED,SMERA D,30-Jun-15,Suspended,27-May-16,-,-,-,-,-,-,-,-
3135,SURAKHSHA TRANSPORT SYSTEMS (INDIA) PRIVATE LIMITED,SMERA BB/SMERA A4+,06-May-15,Suspended,20-Jun-16,-,-,-,-,-,-,-,-
3136,SURENDRA ELECTRICALS PRIVATE LIMITED,SMERA B+/SMERA A4,13-May-17,-,-,-,-,-,-,-,-,-,-
3137,SURESHCHAND RAMESHCHAND,SMERA B+,17-Feb-17,Indicative,28-Feb-18,-,-,-,-,-,-,-,-
3138,SURUCHI SPICES PRIVATE LIMITED,SMERA BB+,21-Jul-16,Indicative,26-Sep-17,-,-,-,-,-,-,-,-
3139,SURYA & COMPANY,SMERA B+/SMERA A4,20-Oct-15,-,-,-,-,-,-,-,-,-,-
3140,SURYA AGENCIES,SMERA BB-,21-Apr-16,Indicative,31-Aug-17,-,-,-,-,-,-,-,-
3141,SURYA JYOTI POLYMER PRIVATE LIMITED,SMERA B+,28-Jun-16,SMERA D,12-Sep-17,-,-,-,-,-,-,-,-
3142,SURYA LAXMI INDUSTRIES,SMERA BB+,18-Jan-16,Indicative,16-May-17,-,-,-,-,-,-,-,-
3143,SURYA METALLOYS PRIVATE LIMITED,SMERA B+/SMERA A4,12-Feb-14,Suspended,29-May-15,-,-,-,-,-,-,-,-
3144,SURYA PRAKAAS FOUNDRY,SMERA B+/SMERA A4,13-May-16,Indicative,09-Aug-17,-,-,-,-,-,-,-,-
3145,SURYAAMBA SPINNING MILLS LIMITED,SMERA BB+/SMERA A4+,26-Oct-15,SMERA BBB-/SMERA A3,10-Sep-16,SMERA BB+/SMERA A4+,17-Aug-17,-,-,-,-,-,-
3146,SURYALAXMI COTTEX PRIVATE LIMITED,SMERA B+,05-Aug-15,-,-,-,-,-,-,-,-,-,-
3147,SURYODAYA INFRA PROJECTS (INDIA) PRIVATE LIMITED,SMERA BB-/SMERA A4+,19-Jan-16,Indicative,16-May-17,-,-,-,-,-,-,-,-
3148,"SURYSHREE BLOCKS PRIVATE LIMITED (EARLIER KNOWN ASSURYSHREE WELLNESS PRIVATE LIMITED)",SMERA B,05-Apr-13,SMERA D,09-Jul-14,SMERA B,13-Feb-15,SMERA B+,28-May-16,-,-,-,-
3149,SUSHILA AGROVET PRIVATE LIMITED,SMERA D,09-Dec-15,-,-,-,-,-,-,-,-,-,-
3150,SUSTAINABLE SPINNING AND COMMODITIES PRIVATE LIMITED,SMERA BBB-/SMERA A3,14-Feb-18,-,-,-,-,-,-,-,-,-,-
3151,SUVASTRA INDIA,SMERA BB-/SMERA A4+,15-Apr-15,SMERA B+/SMERA A4,27-Jun-16,Indicative,23-Sep-17,-,-,-,-,-,-
3152,SUWARNA BUILDCON PRIVATE LIMITED,SMERA BBB-/SMERA A3,28-Jul-17,-,-,-,-,-,-,-,-,-,-
3153,SUWARNSPARSH GEMS & JEWELLERY PRIVATE LIMITED,SMERA BB,01-Dec-15,Indicative,23-Feb-17,-,-,-,-,-,-,-,-
3154,SUYASH MART PRIVATE LIMITED,SMERA B,27-Apr-15,Suspended,27-Jun-16,-,-,-,-,-,-,-,-
3155,SWACHATHA CORPORATION,SMERA BBB-/SMERA A3,13-Nov-17,-,-,-,-,-,-,-,-,-,-
3156,SWAD AGRO COLD CHAIN PRIVATE LIMITED,SMERA B+,09-Dec-16,-,-,-,-,-,-,-,-,-,-
3157,SWADESH GREEN INFRA PRIVATE LIMITED,SMERA B+/SMERA A4,20-Oct-16,Indicative,18-Jan-18,-,-,-,-,-,-,-,-
3158,SWADESHI MARKETING PRIVATE LIMITED,SMERA BB-/SMERA A4+,31-Mar-16,Indicative,27-Jun-17,-,-,-,-,-,-,-,-
3159,SWAMI DEVI DAYAL HI-TECH EDUCATION ACADEMY,SMERA D,11-Mar-15,Indicative,15-Sep-17,-,-,-,-,-,-,-,-
3160,SWAMINARAYAN DIAMONDS PRIVATE LIMITED,SMERA BB-/SMERA A4,26-Oct-16,-,-,-,-,-,-,-,-,-,-
3161,SWAN SILK PRIVATE LIMITED,SMERA B-/SMERA A4,14-Mar-14,SMERA B/SMERA A4,17-Apr-15,-,-,-,-,-,-,-,-
3162,SWAPNA PRINTING WORKS PRIVATE LIMITED,SMERA BB+/SMERA A4+,24-Aug-15,Suspended,23-Jul-16,-,-,-,-,-,-,-,-
3163,SWARNSARITA GEMS LIMITED,SMERA BBB-,12-Dec-17,-,-,-,-,-,-,-,-,-,-
3164,SWASTIK ELECTROTECH PRIVATE LIMITED,SMERA A4+,04-Jul-16,Indicative,11-Jan-18,-,-,-,-,-,-,-,-
3165,SWASTIK ENTERPRISES (INDIA),SMERA BB-,09-Jun-15,Suspended,31-Aug-16,-,-,-,-,-,-,-,-
3166,SWASTIKA PRINTING AND PACKAGING,SMERA B+,13-Feb-18,-,-,-,-,-,-,-,-,-,-
3167,SWATHI HATCHERIES,SMERA B+/SMERA A4,22-Jan-14,SMERA BB-,18-Feb-15,SMERA BB,26-Dec-16,Indicative,22-Mar-18,-,-,-,-
3168,SWISSLINE INTERTRADE PRIVATE LIMITED,SMERA BB-/SMERA A4+,09-Feb-15,-,-,-,-,-,-,-,-,-,-
3169,SYMBIOSIS PHARMACEUTICALS PRIVATE LIMITED,SMERA BB+/SMERA A4+,12-May-17,-,-,-,-,-,-,-,-,-,-
3170,SYNAPSE NEUROCARE PRIVATE LIMITED,SMERA B-,17-Apr-15,SMERA D,12-Sep-17,SMERA B,27-Jan-18,-,-,-,-,-,-
3171,SYNDICATE IMPEX,SMERA BB-/SMERA A4+,15-Dec-17,-,-,-,-,-,-,-,-,-,-
3172,SYNERGY ELECTRIC PRIVATE LIMITED,SMERA D,25-Mar-15,Indicative,21-Aug-17,-,-,-,-,-,-,-,-
3173,SYNERGY SKI INFRADEVELOPMENT,SMERA BB+/SMERA A4+,31-Aug-16,Indicative,09-Jan-18,-,-,-,-,-,-,-,-
3174,SYNKROMAX BIOTECH PRIVATE LIMITED,SMERA BB-,05-Dec-16,Indicative,12-Mar-18,-,-,-,-,-,-,-,-
3175,SYSKA E-RETAILS LLP,SMERA A-,08-Nov-17,-,-,-,-,-,-,-,-,-,-
3176,SYSTEM CONTROLS TECHNOLOGY SOLUTIONS PRIVATE LIMITED,SMERA BB+/SMERA A4+,22-Feb-18,-,-,-,-,-,-,-,-,-,-
3177,T ABDUL WAHID TANNERIES PRIVATE LIMITED,SMERA A4,10-Apr-17,SMERA B+/SMERA A4,31-Jul-17,-,-,-,-,-,-,-,-
"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
3178,T C COMMUNICATION PRIVATE LIMITED,SMERA BB-/SMERA A4,11-Mar-15,Suspended,02-Jun-16,-,-,-,-,-,-,-,-
3179,T C SPINNERS PRIVATE LIMITED,SMERA BBB,05-Feb-18,-,-,-,-,-,-,-,-,-,-
3180,T C TERRYTEX LIMITED,SMERA BBB-/SMERA A3,18-Dec-15,Indicative,13-Mar-18,-,-,-,-,-,-,-,-
3181,T M CHANDRASHEKHARA NAIK,SMERA B+,01-Apr-16,Indicative,18-Jul-17,-,-,-,-,-,-,-,-
3182,T M SUBRAMANIAM AND CO,SMERA B+/SMERA A4,18-Aug-15,-,-,-,-,-,-,-,-,-,-
3183,T3 URBAN DEVELOPERS LIMITED,SMERA B,02-Jun-17,-,-,-,-,-,-,-,-,-,-
3184,TALEDA SQUARE PRIVATE LIMITED,SMERA B,05-Jul-16,Indicative,11-Oct-17,SMERA B+,15-Mar-18,-,-,-,-,-,-
3185,TANFAC INDUSTRIES LIMITED,SMERA BB+/SMERA A4+,06-Aug-15,SMERA BBB-/SMERA A3,09-Dec-16,-,-,-,-,-,-,-,-
3186,TANISHKA INTERNATIONAL,SMERA A4,21-Jan-15,Suspended,28-Apr-16,-,-,-,-,-,-,-,-
3187,TANTIA CONSTRUCTION LIMITED,SMERA C/SMERA A4 & SMERA D,05-Feb-16,SMERA D,30-Dec-16,-,-,-,-,-,-,-,-
3188,TAPADIA ENTERPRISES INDIA PRIVATE LIMITED,SMERA B,12-Aug-17,-,-,-,-,-,-,-,-,-,-
3189,TAPTI VALLEY EDUCATION FOUNDATION,SMERA B,25-Sep-15,Withdrawn,06-Dec-16,-,-,-,-,-,-,-,-
3190,TAQUITO LEASE OPERATORS PRIVATE LIMITED,SMERA Provisional AA-(SO),16-Sep-17,-,-,-,-,-,-,-,-,-,-
3191,TARA TRADELINK PRIVATE LIMITED,SMERA B-,18-Dec-13,Suspended,27-Mar-15,-,-,-,-,-,-,-,-
3192,TARAPUR TRANSFORMERS LIMITED,SMERA D,28-Nov-13,-,-,-,-,-,-,-,-,-,-
3193,TARINI STEEL COMPANY LIMITED,SMERA BB/SMERA A4+,21-Oct-15,Suspended,22-Jul-16,-,-,-,-,-,-,-,-
3194,TAURUS POWERTRONICS PRIVATE LIMITED,SMERA BB-/SMERA A4,28-Feb-18,-,-,-,-,-,-,-,-,-,-
3195,TAYAL AGRO PRODUCTS,SMERA B,26-Aug-17,-,-,-,-,-,-,-,-,-,-
3196,TAYLORMADE RENEWABLES LIMITED,SMERA BB-/SMERA A4+,08-Mar-18,-,-,-,-,-,-,-,-,-,-
3197,TBPR INFRAPROJECTS PRIVATE LIMITED,SMERA B/SMERA A4,27-Sep-16,Indicative,09-Jan-18,-,-,-,-,-,-,-,-
3198,TDB SPINNERS PRIVATE LIMITED,SMERA BB-/SMERA A4,08-Sep-15,Indicative,07-Mar-18,-,-,-,-,-,-,-,-
3199,TEAM FERRO ALLOYS PRIVATE LIMITED,SMERA BB+/SMERA A4+,15-Mar-18,-,-,-,-,-,-,-,-,-,-
3200,TEAM UNIVERSAL INFRATECH PRIVATE LIMITED,SMERA BB-/SMERA A4,15-Dec-17,-,-,-,-,-,-,-,-,-,-
3201,TEC LINE INDUSTRIES,SMERA B,24-Jan-18,-,-,-,-,-,-,-,-,-,-
3202,TECH GREEN ENTERPRISES,SMERA B+,25-Jan-18,-,-,-,-,-,-,-,-,-,-
3203,TECHMAN BUILDWELL PRIVATE LIMITED,SMERA BB+,03-Mar-17,-,-,-,-,-,-,-,-,-,-
3204,TECHMART SYSTEMS COMPANY PRIVATE LIMITED,SMERA B+/SMERA A4,30-Mar-13,Withdrawn,16-Feb-17,-,-,-,-,-,-,-,-
3205,TECHNO BLOW MOULDERS PRIVATE LIMITED,SMERA BB+/SMERA A4+,22-Feb-18,-,-,-,-,-,-,-,-,-,-
3206,TECHNO COMMERCIAL CO PRIVATE LIMITED,SMERA BB-/SMERA A4,28-Dec-17,-,-,-,-,-,-,-,-,-,-
3207,TECHNO DESIGNS,SMERA BB/SMERA A4+,23-May-13,Suspended,20-Oct-15,-,-,-,-,-,-,-,-
3208,TECHNO DRUGS AND INTERNEDIATES PRIVATE LIMITED,SMERA B-/SMERA A4,17-May-17,-,-,-,-,-,-,-,-,-,-
3209,TECHNOCOM,SMERA BB+/SMERA A4+,12-Sep-14,SMERA BBB-/SMERA A3,07-Sep-15,SMERA BB+/SMERA A4+,02-Dec-16,SMERA BBB-/SMERA A3,27-Dec-17,-,-,-,-
3210,TECHNOCOMPACT BUILDERS,SMERA B+/SMERA A4,04-Jun-15,Suspended,27-Jul-16,-,-,-,-,-,-,-,-
3211,TECHNOCRAFT ASSOCIATES,SMERA BB/SMERA A4+,05-Feb-18,-,-,-,-,-,-,-,-,-,-
3212,TECHNOLOGY FRONTIERS (INDIA) PRIVATE LIMITED,SMERA BB/SMERA A4+,04-May-17,-,-,-,-,-,-,-,-,-,-
3213,TEERTH DEVELOPERS & SUYOJIT INFRASTRUCTURE LIMITED,SMERA B+,04-Jan-16,-,-,-,-,-,-,-,-,-,-
3214,TEGH CABLES PRIVATE LIMITED,SMERA BB/SMERA A4+,19-Dec-16,Indicative,20-Mar-18,-,-,-,-,-,-,-,-
3215,TEKNOW OVERSEAS PRIVATE LIMITED,SMERA B-/SMERA A4,05-Mar-15,SMERA B/SMERA A4,18-Mar-16,Indicative,21-Jun-17,-,-,-,-,-,-
3216,TELAWNE POWER EQUIPMENTS PRIVATE LIMITED,SMERA BB-/SMERA A4+,20-Apr-16,Indicative,17-Aug-17,SMERA B+/SMERA A4,13-Mar-18,-,-,-,-,-,-
3217,TELECOMMUNICATIONS CONSULTANTS INDIA LIMITED,SMERA A+/SMERA A1+,22-Dec-17,-,-,-,-,-,-,-,-,-,-
3218,TERAI OVERSEAS PRIVATE LIMITED,SMERA B+,12-Mar-16,Indicative,06-Oct-17,-,-,-,-,-,-,-,-
3219,TEX CORP LIMITED,SMERA BBB-/SMERA A3,28-Oct-13,Suspended,10-Feb-15,-,-,-,-,-,-,-,-
3220,TEXACO SYNTHETICS PRIVATE LIMITED,SMERA B+/SMERA A4,31-Jan-13,SMERA D,04-Apr-14,Suspended,07-Jul-15,-,-,-,-,-,-
3221,TEXTILE SOLUTIONS,SMERA B+,21-Mar-17,-,-,-,-,-,-,-,-,-,-
3222,TEZALPATTY TEA PRIVATE LIMITED,SMERA B+,23-Mar-17,-,-,-,-,-,-,-,-,-,-
3223,THE AKSHAYA NIDHI FOUNDATION,SMERA BB-,08-Dec-17,-,-,-,-,-,-,-,-,-,-
3224,THE ANANDA BAG TEA CO LIMITED,SMERA BB+/SMERA A4+,14-Nov-17,-,-,-,-,-,-,-,-,-,-
3225,THE BRAITHWAITE BURN AND JESSOP CONSTRUCTION COMPAN,SLMIMEIRTAED A+/SMERA A1+,02-Feb-18,-,-,-,-,-,-,-,-,-,-
3226,THE CANARA WORKSHOPS LIMITED,SMERA B-/SMERA A4,19-Nov-14,SMERA B+/SMERA A4,28-Oct-16,-,-,-,-,-,-,-,-
3227,THE COMMUNITY CENTRE,SMERA B+,20-Feb-17,-,-,-,-,-,-,-,-,-,-
3228,THE DESIGN HOUSE,SMERA A3,30-Jul-14,SMERA BBB,22-Feb-16,-,-,-,-,-,-,-,-
3229,THE DUKES RETREAT LIMITED,SMERA BBB,25-Jul-15,Indicative,15-Feb-17,-,-,-,-,-,-,-,-
3230,THE INCODA,SMERA BBB-,27-Mar-17,-,-,-,-,-,-,-,-,-,-
3231,THE KOLHAPUR STEEL LIMITED,SMERA BBB-,27-Mar-17,-,-,-,-,-,-,-,-,-,-
3232,THE MOGAVEERA VYAVASTHAPAKA MANDALI,SMERA B,23-Mar-15,Suspended,16-May-16,-,-,-,-,-,-,-,-
3233,THE MOHAN GOLDWATER BREWERIES LIMITED,SMERA BB-,16-May-14,Suspended,12-Dec-16,-,-,-,-,-,-,-,-
3234,THE MYSORE PAPER MILLS LIMITED,SMERA AA-(SO),12-Mar-12,"SMERA Provisional AA-(SO)",19-Aug-15,Withdrawn,21-Dec-16,-,-,-,-,-,-
3235,THE NATIONAL SMALL INDUSTRIES CORPORATION LIMITED,SMERA A1+,25-Jan-18,-,-,-,-,-,-,-,-,-,-
"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
3236,THE PALANI ANDAVAR MILLS LIMITED,SMERA BB/SMERA A4+,22-Jul-16,Indicative,06-Oct-17,-,-,-,-,-,-,-,-
3237,THE ROYAL TIMBERS,SMERA B/SMERA A4,08-Apr-15,Suspended,27-May-16,SMERA B/SMERA A4,06-Sep-16,Indicative,11-Dec-17,-,-,-,-
3238,THE SIRPUR PAPER MILLS LIMITED,SMERA D,06-Oct-14,Indicative,13-May-17,-,-,-,-,-,-,-,-
3239,THE SUITES HOSPITALITY PRIVATE LIMITED,SMERA B-,18-Feb-16,Indicative,26-May-17,-,-,-,-,-,-,-,-
3240,THE TUTICORIN SPINNING MILLS LIMITED,SMERA B-/SMERA A4,27-Jan-14,Suspended,02-Aug-16,-,-,-,-,-,-,-,-
3241,"THE UNITED MULTI STATE CREDIT CO-OPERATIVE SOCIETYLIMITED",SMERA FB+,08-Mar-16,-,-,-,-,-,-,-,-,-,-
3242,THE VISION HOUSE,SMERA BB/SMERA A4+,01-Jun-15,Suspended,20-Aug-16,-,-,-,-,-,-,-,-
3243,THEME ENGINEERING SERVICES PRIVATE LIMITED,SMERA A3,22-Feb-16,Indicative,26-May-17,-,-,-,-,-,-,-,-
3244,THEME MUSIC COMPANY PRIVATE LIMITED,SMERA BB-/SMERA A4+,15-May-17,-,-,-,-,-,-,-,-,-,-
3245,THEMIS MEDICARE LIMITED,SMERA B/SMERA A4,21-Dec-15,SMERA BB-/SMERA A4,10-Mar-17,-,-,-,-,-,-,-,-
3246,THENI KAMMAVAR SANGAM,SMERA BB+,29-Mar-18,-,-,-,-,-,-,-,-,-,-
3247,THENPANDIAN SPINNING MILLS INDIA PRIVATE LIMITED,SMERA BB-/SMERA A4+,10-Jan-17,-,-,-,-,-,-,-,-,-,-
3248,THEOREM INDIA PRIVATE LIMITED,SMERA BB+,05-Mar-15,-,-,-,-,-,-,-,-,-,-
3249,THERMOLAB SCIENTIFIC EQUIPMENTS PRIVATE LIMITED,SMERA BB+/SMERA A4+,19-May-15,Suspended,13-Jul-16,-,-,-,-,-,-,-,-
3250,THERMOSET POLY PRODUCTS INDIA PRIVATE LIMITED,SMERA B-,13-Mar-18,-,-,-,-,-,-,-,-,-,-
3251,THERMOTECH SYSTEMS LIMITED,SMERA BB-/SMERA A4+,30-Dec-13,Suspended,27-Mar-15,-,-,-,-,-,-,-,-
3252,THIRAVIAM ENGINEERING PRIVATE LIMITED,SMERA B+/SMERA A4,01-Oct-15,SMERA D,23-Mar-17,Indicative,29-Mar-18,-,-,-,-,-,-
3253,THREE S PROPERTIES,SMERA B,30-Nov-17,-,-,-,-,-,-,-,-,-,-
3254,THRISUL TIMBER TRADERS,SMERA B/SMERA A4,05-Jun-14,Indicative,13-Mar-18,-,-,-,-,-,-,-,-
3255,TI ANODE FABRICATORS PRIVATE LIMITED,SMERA B+/SMERA A4,26-Mar-18,-,-,-,-,-,-,-,-,-,-
3256,TIGERHILL VINTRADE PRIVATE LIMITED,SMERA BB-,31-Jul-15,Suspended,21-Nov-16,SMERA BB-,31-Jan-17,Indicative,29-Mar-18,-,-,-,-
3257,TIPSONS CONSULTANCY SERVICES PRIVATE LIMITED,SMERA BBB,23-Mar-17,-,-,-,-,-,-,-,-,-,-
3258,TIPSONS FINANCIAL SERVICES PRIVATE LIMITED,SMERA A2,25-Feb-15,Indicative,06-Sep-17,-,-,-,-,-,-,-,-
3259,TIRUPATI BALAJI COTFAB PRIVATE LIMITED,SMERA B/SMERA A4,28-Sep-15,Suspended,24-Dec-16,-,-,-,-,-,-,-,-
3260,TIRUPATI FOAM LIMITED,SMERA BB+/SMERA A4+,06-Oct-16,-,-,-,-,-,-,-,-,-,-
3261,TIRUPATI OIL INDUSTRIES,SMERA B,17-Nov-15,-,-,-,-,-,-,-,-,-,-
3262,TIRUPATI SPRINKLERS,SMERA D,28-Feb-15,SMERA B-,02-Feb-16,SMERA B,27-Mar-17,-,-,-,-,-,-
3263,TITAN BIOTECH LIMITED,SMERA BBB-,16-Mar-15,Suspended,23-May-16,-,-,-,-,-,-,-,-
3264,TITANIUM TANTALUM PRODUCTS LIMITED,SMERA D,17-Jun-13,Suspended,10-Dec-15,SMERA D,13-Feb-16,-,-,-,-,-,-
3265,TLT ENGINEERING INDIA PRIVATE LIMITED,SMERA BB+/SMERA A4+,14-Jun-17,-,-,-,-,-,-,-,-,-,-
3266,TOC H PUBLIC SCHOOL SOCIETY,SMERA B,17-Apr-14,Suspended,16-Jul-15,-,-,-,-,-,-,-,-
3267,TOLAR OCEAN PRODUCTS PRIVATE LIMITED,SMERA B+/SMERA A4,11-Mar-17,SMERA BB-/SMERA A4+,27-Feb-18,-,-,-,-,-,-,-,-
3268,TORRANCE ENTERPRISE,SMERA B,08-Mar-18,-,-,-,-,-,-,-,-,-,-
3269,TOSHNIWAL BROTHERS (SR) PRIVATE LIMITED,SMERA BB/SMERA A4+,10-Aug-15,Indicative,02-Mar-17,-,-,-,-,-,-,-,-
