Count,Sl.No.,Name of the Issuer,Initial Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
915,915,GAUTAM SILKS,SMERA B+,22-Feb-18,,,,,,,,,,
916,916,GAUTAM SOLAR PRIVATE LIMITED,SMERA BBB-/SMERA A3,09-Mar-15,Indicative,24-Jun-17,,,,,,,,
917,917,GAYTRI INDUSTRIAL CORPORATION,SMERA BBB-/SMERA A3,30-Oct-17,,,,,,,,,,
918,918,GEENA GARMENTS,SMERA BBB-,24-Aug-16,Indicative,15-Nov-17,,,,,,,,
919,919,GEETA EDUCATIONAL TRUST,SMERA BB-,24-Jun-16,SMERA B+,22-Jul-17,,,,,,,,
920,920,GEETA GLASS WORKS,SMERA BB/SMERA A4+,12-Jan-16,,,,,,,,,,
921,921,GEETA REFINERY PRIVATE LIMITED,SMERA BBB-,08-Feb-18,,,,,,,,,,
922,922,GEETU ENGINEERING & CONSTRUCTIONS PRIVATE LIMITED,SMERA BB-/SMERA A4+,25-Feb-16,,,,,,,,,,
923,923,GEM FORGINGS PRIVATE LIMITED,SMERA A4+,23-Jan-16,Indicative,16-May-17,,,,,,,,
924,924,GEMCO ENERGY LIMITED,SMERA BBB-,19-Aug-16,Indicative,15-Dec-17,,,,,,,,
925,925,GEMINI ENTERPRISES,SMERA BB+/SMERA A4+,19-May-15,SMERA BBB-/SMERA A3,24-May-16,,,,,,,,
926,926,GEMUS ENGINEERING LIMITED,SMERA B+/SMERA A4,27-Jul-17,,,,,,,,,,
927,927,GENCOR PACIFIC AUTO ENGINEERING PRIVATE LIMITED,SMERA B-/SMERA A4,04-Apr-16,,,,,,,,,,
928,928,GENDALAL HAZARILAL AND COMPANY,SMERA BBB-/SMERA A3,08-Aug-16,Indicative,26-Oct-17,,,,,,,,
929,929,GENERAL PUMPS PRIVATE LIMITED,SMERA B,12-Jun-14,Suspended,25-Sep-15,,,,,,,,
930,930,GENINFRA CONSTRUCTIONS,SMERA BB/SMERA A4+,28-Jul-16,Indicative,15-Nov-17,,,,,,,,
931,931,GENISYS INFORMATION SYSTEMS INDIA PRIVATE LIMITED,SMERA BB/SMERA A4+,28-Mar-18,,,,,,,,,,
932,932,GENLINK PHARMA SOLUTIONS PRIVATE LIMITED,SMERA BB-,02-Mar-17,,,,,,,,,,
933,933,GEONET IT MALL,SMERA BB-,02-Jun-16,Indicative,07-Sep-17,,,,,,,,
934,934,GEORGE MAIJO INDUSTRIES PRIVATE LIMITED,SMERA C/SMERA A4,24-Dec-14,Suspended,19-Feb-16,,,,,,,,
935,935,GERMAN POLYMERS AND COATINGS PRIVATE LIMITED,SMERA B/SMERA A4,07-Jun-16,Indicative,26-Sep-17,,,,,,,,
936,936,GG FASHIONS,SMERA B+/SMERA A4,24-Jul-15,SMERA B/SMERA A4,31-Mar-17,,,,,,,,
937,937,GG OILS & FATS PRIVATE LIMITED,SMERA A4,20-Feb-14,Suspended,09-Jul-15,,,,,,,,
938,938,GHAI CONSTRUCTION LIMITED,SMERA BB+/SMERA A4+,23-Jan-17,,,,,,,,,,
939,939,GHANKUN STEELS PRIVATE LIMITED,SMERA BBB-/SMERA A3+,07-Feb-18,,,,,,,,,,
940,940,GHANSHYAM IMPEX,SMERA BB,16-Feb-18,,,,,,,,,,
941,941,GHATPRABHA FERTILIZERS PRIVATE LIMITED,SMERA BB/SMERA A4+,02-Jun-16,SMERA BB-/SMERA A4+,10-Aug-17,,,,,,,,
942,942,GHODAWAT INFRA LLP,SMERA BB-,02-Sep-15,SMERA BB,18-Jan-17,,,,,,,,
943,943,GIDDE GOWDA CONTRACTORS,SMERA BB-/SMERA A4,26-Aug-16,,,,,,,,,,
944,944,GIRIRAJ COTEX GINNING AND PRESSING,SMERA B/SMERA A4,25-May-16,Indicative,26-Sep-17,,,,,,,,
945,945,GIRIRAJ IRON LIMITED,SMERA A4,02-Jun-14,Suspended,03-Aug-15,,,,,,,,
946,946,GIRIRAJ SPINTEX PRIVATE LIMITED,SMERA B+,25-Jul-17,,,,,,,,,,
947,947,GIRRAJJI STONE CRUSHERS PRIVATE LIMITED,SMERA BB/SMERA A4+,04-Jul-17,,,,,,,,,,
948,948,GITA POWER AND INFRASTRUCTURE PRIVATE LIMITED,SMERA A+,29-Sep-17,,,,,,,,,,
949,949,GL CONSTRUCTIONS PRIVATE LIMITED,SMERA B+/SMERA A4,30-Mar-17,,,,,,,,,,
950,950,GLOBAL BEVERAGES INC,SMERA BB-,11-Feb-16,,,,,,,,,,
951,951,GLOBAL COPPER PRIVATE LIMITED,SMERA BB-/SMERA A4,23-Mar-17,,,,,,,,,,
952,952,GLOBAL OFFSHORE SERVICES LIMITED,SMERA C & SMERA D/SMERA A4,24-Oct-17,,,,,,,,,,
953,953,GLOBAL STAINLESS,SMERA B,10-Mar-16,Indicative,05-Jul-17,,,,,,,,
954,954,GLOBE HI-FABS LLP,SMERA B-/SMERA A4,15-Mar-16,SMERA B/SMERA A4,20-Mar-17,SMERA B+/SMERA A4,24-Mar-18,,,,,,
955,955,GLOBE PANEL INDUSTRIES INDIA PRIVATE LIMITED,SMERA BB+,09-May-17,SMERA BBB-/SMERA A3,10-Jan-18,,,,,,,,
956,956,GLOBE PRECISION INDUSTRIES PRIVATE LIMITED,SMERA B+/SMERA A4,20-Feb-15,,,,,,,,,,
957,957,GM MODULAR PRIVATE LIMITED,SMERA BBB-,21-Sep-15,SMERA BBB,09-Feb-17,,,,,,,,
958,958,GNANABELLA LOGISTICS,SMERA B/SMERA A4,05-Jan-16,Indicative,23-Feb-17,,,,,,,,
959,959,GNOSIS PHARMACEUTICALS PRIVATE LIMITED,SMERA BB,24-Dec-15,,,,,,,,,,
960,960,GOA CARBON LIMITED,SMERA BBB+/SMERA A2,29-Dec-17,,,,,,,,,,
961,961,GOA INSTITUTE OF MANAGEMENT,SMERA BBB/SMERA A3+,15-Sep-15,SMERA BBB+,21-Mar-18,,,,,,,,
962,962,GOAL CLOSURES,SMERA BBB-/SMERA A3,29-Nov-16,,,,,,,,,,
963,963,GODAVARI COMMODITIES LIMITED,SMERA A-/SMERA A2+,02-Feb-18,,,,,,,,,,
964,964,GOEL CONSTRUCTION COMPANY PRIVATE LIMITED,SMERA BBB-/SMERA A3,26-Apr-17,,,,,,,,,,
965,965,GOEL INTERNATIONAL PRIVATE LIMITED,SMERA BB+/SMERA A4+,14-Dec-15,SMERA BBB-/SMERA A3,24-Jan-18,,,,,,,,
966,966,GOEL MINERALS & CHEMICALS,SMERA A4+,06-May-15,Suspended,22-Jul-16,,,,,,,,
967,967,GOEL OVERSEAS,SMERA BB+/SMERA A4+,24-Dec-15,Withdrawn,19-Dec-16,,,,,,,,
968,968,GOKILAMBAL EDUCATIONAL AND CHARITABLE TRUST,SMERA B,28-Feb-18,,,,,,,,,,
969,969,GOKUL DAIRY PRODUCTS,SMERA BB,08-Jan-16,,,,,,,,,,
970,970,GOKUL HI FASHIONS,SMERA A4,18-Jul-13,Suspended,13-Nov-14,,,,,,,,
971,971,GOKUL KNITT FABS,SMERA B+/SMERA A4,13-May-13,SMERA D,14-Jul-17,,,,,,,,
972,972,GOKULAM SHELTERS PRIVATE LIMITED,SMERA B,20-Jun-16,SMERA B+,09-Oct-17,,,,,,,,
973,973,GOLD STAR CENTOQUATTRO JEWELLERY PRIVATE LIMITED,SMERA A3,23-Jul-15,,,,,,,,,,
974,974,GOLD STAR DIAMOND PRIVATE LIMITED,SMERA A-,20-Jul-15,,,,,,,,,,
975,975,GOLD STAR JEWELLERY PRIVATE LIMITED,SMERA A-/SMERA A2+,20-Jul-15,,,,,,,,,,
976,976,GOLDEN APPARELS EXPORTS PRIVATE LIMITED,SMERA A-/SMERA A2+,21-Jan-16,,,,,,,,,,
977,977,GOLDEN FALCON INDIA PRIVATE LIMITED,SMERA B-,22-Sep-15,Indicative,09-Feb-18,,,,,,,,
978,978,GOLDEN FLOOR FURNISHING PRIVATE LIMITED,SMERA A-/SMERA A2+,21-Jan-16,,,,,,,,,,
979,979,GOLDEN INTERNATIONAL PRIVATE LIMITED,SMERA A-,11-May-17,,,,,,,,,,
980,980,GOLDEN SUN AGRO FOODS PRIVATE LIMITED,SMERA B/SMERA A4,04-Jun-14,Suspended,14-Oct-15,,,,,,,,
981,981,GOLDEN TERRY TOWEL PRIVATE LIMITED,SMERA A-/SMERA A2+,21-Jan-16,,,,,,,,,,
982,982,GOLDEN TEXO FABS PRIVATE LIMITED,SMERA A-/SMERA A2+,21-Jan-16,,,,,,,,,,
983,983,GOOD LUCK POLY FABRICS,SMERA D,27-Nov-13,Suspended,13-Mar-15,,,,,,,,
984,984,GOODWILL TRANS AND LOGISTICS COMPANY,SMERA B+,17-Oct-16,Indicative,01-Nov-17,,,,,,,,
985,985,GOOMBIRA TEA COMPANY LIMITED,SMERA B-,16-Jul-15,,,,,,,,,,
986,986,GOPAL ENTERPRISES,SMERA A3,20-Mar-17,,,,,,,,,,
987,987,GOPAL RICE MILLS,SMERA BB-,27-Jun-17,,,,,,,,,,
988,988,GOPAL TEKNOCON PRIVATE LIMITED,SMERA BB+/SMERA A4+,24-Sep-16,Indicative,15-Jan-18,,,,,,,,
989,989,GOPINATH CHEM TECH LIMITED,SMERA BBB-/SMERA A3,11-Aug-17,,,,,,,,,,
990,990,GOPINATH SPINNING PRIVATE LIMITED,SMERA C/SMERA A4,16-Nov-15,SMERA D,28-Oct-16,SMERA B-/SMERA A4,15-Jan-18,,,,,,
991,991,GOURAV SUITINGS PRIVATE LIMITED,SMERA B+,14-Jun-16,,,,,,,,,,
992,992,GOVARDHANI CONSTRUCTION CO,SMERA BB+/SMERA A4+,26-May-17,,,,,,,,,,
993,993,GOVARDHEN COTTEX,SMERA BB-,30-Jan-18,,,,,,,,,,
994,994,GOVIND STEEL COMPANY LIMITED,SMERA BB+/SMERA A4+,04-Aug-17,,,,,,,,,,
995,995,GOYAL INTERNATIONAL,SMERA BB/SMERA A4+,31-Jan-18,,,,,,,,,,
996,996,GOYAL ISPAT LIMITED,SMERA B-/SMERA A4,12-Oct-16,Indicative,30-Jan-18,SMERA B-/SMERA A4,23-Mar-18,,,,,,
997,997,GRAND PINKCITY INFRAPROJECT,SMERA B,19-Oct-16,Indicative,30-Jan-18,,,,,,,,
998,998,GRANT INVESTRADE LIMITED,SMERA A+,27-Mar-18,,,,,,,,,,
999,999,GREAT INDIA STEEL FABRICATORS,SMERA B+/SMERA A4,28-Apr-17,,,,,,,,,,
1000,1000,GREAT WIN EXPORTS,SMERA A4,28-Nov-16,,,,,,,,,,
1001,1001,GREATWELD ENGINEERING PRIVATE LIMITED,SMERA BB-/SMERA A4,17-Feb-16,Indicative,26-May-17,,,,,,,,
1002,1002,GREEN GAS LIMITED,SMERA A/SMERA A1,30-Mar-16,SMERA A+/SMERA A1+,24-Jun-17,,,,,,,,
1003,1003,GREEN HOUSE AGRO PRODUCTS,SMERA BB-/SMERA A4+,24-Aug-17,,,,,,,,,,
1004,1004,GRETA STEELS LIMITED,SMERA BB-/SMERA A4,12-Oct-16,,,,,,,,,,
1005,1005,GRM FOODS PRIVATE LIMITED,SMERA BB/SMERA A4+,11-Jul-17,,,,,,,,,,
1006,1006,GROUP PHARMACEUTICALS LIMITED,SMERA BBB/SMERA A2,03-May-16,,,,,,,,,,
1007,1007,GSD CONSTRUCTIONS INDORE PRIVATE LIMTED,SMERA B+/SMERA A4,02-May-17,,,,,,,,,,
1008,1008,GSR ECO BRICKS PRIVATE LIMITED,SMERA B,03-Jul-15,Suspended,22-Sep-16,,,,,,,,
1009,1009,GSV INDUSTRIES PRIVATE LIMITED,SMERA B-,02-May-14,Suspended,05-Aug-15,,,,,,,,
1010,1010,GTS ALLOYS PRIVATE IMITED,SMERA BB-,17-Jan-18,,,,,,,,,,
1011,1011,GUDIMETLA SUNDARA RAMI REDDY AND COMPANY,SMERA BB-,29-Jul-17,,,,,,,,,,
1012,1012,GUHAN SANJEEVI ENTERPRISES,SMERA B-/SMERA A4,28-Oct-15,Suspended,29-Jul-16,SMERA B/SMERA A4,04-Nov-16,Indicative,02-Jan-18,,,,
1013,1013,GUHAN TEXTILE MILLS PRIVATE LIMITED,SMERA D,15-Sep-14,Suspended,02-Nov-15,SMERA B-/SMERA A4,05-Dec-16,,,,,,
1014,1014,GUINESS SECURITIES LIMITED,SMERA BB/SMERA A4+,29-Mar-18,,,,,,,,,,
1015,1015,GUJARAT CRAFT INDUSTRIES LIMITED,SMERA BB/SMERA A4+,05-Feb-18,,,,,,,,,,
1016,1016,GUJARAT PICKERS INDUSTRIES LIMITED,SMERA BB-/SMERA A4+,01-Feb-17,,,,,,,,,,
1017,1017,GUJARAT THEMIS BIOSYN LIMITED,SMERA BB-/SMERA A4+,22-Dec-15,,,,,,,,,,
1018,1018,GUNITE TECHNOMIX,SMERA B+,06-Mar-17,,,,,,,,,,
1019,1019,GUNTUR SPINNING MILLS LIMITED,SMERA BBB-/SMERA A3,09-Feb-17,,,,,,,,,,
1020,1020,GUPTA RICE EXPORT,SMERA B+/SMERA A4,09-May-17,,,,,,,,,,
1021,1021,GURDAS EXPORTS,SMERA A4,20-Feb-14,Suspended,09-Jul-15,,,,,,,,
1022,1022,GURIND SYSTEMS PRIVATE LIMITED,SMERA B-/SMERA A4,13-Feb-15,Suspended,17-May-16,,,,,,,,
1023,1023,GURU HVAC,SMERA BB-/SMERA A4+,14-Nov-16,Indicative,24-Feb-18,,,,,,,,
1024,1024,GURUDEV COLD STORAGE,SMERA B,23-Nov-16,Indicative,29-Jan-18,,,,,,,,
1025,1025,GURUSHREE HITECH MULTI SPECIALITY HOSPITAL,SMERA BB-,05-Oct-15,Suspended,19-Dec-16,,,,,,,,
1026,1026,GVR BEHARI HANUMANA TOLLWAY PRIVATE LIMITED,SMERA BBB-,15-Apr-15,Withdrawn,29-Jun-16,,,,,,,,
1027,1027,GVR PANNA AMANGANJ TOLLWAY PRIVATE LIMITED,SMERA BBB-,15-Apr-15,Withdrawn,27-Jun-16,,,,,,,,
1028,1028,GYSCOAL ALLOYS LIMITED,SMERA D,22-Jun-15,Indicative,18-Oct-17,,,,,,,,
1029,1029,H A MARKETING & SERVICES PRIVATE LIMITED,SMERA B/SMERA A4,15-Apr-14,Suspended,05-Aug-15,,,,,,,,
1030,1030,H AND H PRECISION PRIVATE LIMITED,SMERA BB+/SMERA A4+,23-Jan-18,,,,,,,,,,
1031,1031,H B GUM INDUSTRIES PRIVATE LIMITED,SMERA A4,19-May-14,Suspended,20-Aug-15,,,,,,,,
1032,1032,H D INFRASTRUCTRES,SMERA B+/SMERA A4,05-Jul-17,,,,,,,,,,
1033,1033,H D TRAILERS PRIVATE LIMITED,SMERA BB-/SMERA A4+,04-Oct-16,Indicative,30-Jan-18,,,,,,,,
1034,1034,H F METALART PRIVATE LIMITED,SMERA B/SMERA A4,05-Jun-17,,,,,,,,,,
1035,1035,H M STEELS LIMITED,SMERA B-/SMERA A4,11-Aug-16,,,,,,,,,,
1036,1036,H P ORE PROCESSORS PRIVATE LIMITED,SMERA B+,27-Nov-15,Indicative,02-Mar-17,,,,,,,,
1037,1037,H R RICE MILLS PRIVATE LIMITED,SMERA D,15-Jul-15,Indicative,04-Jan-18,,,,,,,,
1038,1038,H RIDDHESH AND CO,SMERA A4+,31-Jul-17,,,,,,,,,,
1039,1039,HAMAL HYDEL LIMITED,SMERA BB-,24-Feb-17,,,,,,,,,,
1040,1040,HAMSA MINERALS AND EXPORTS,SMERA B/SMERA A4,13-May-17,,,,,,,,,,
1041,1041,HAND IN HAND INDIA,SMERA BB-,13-Feb-17,,,,,,,,,,
1042,1042,HANDLOOM COTTAGE PRIVATE LIMITED,SMERA B+,08-Jun-15,Indicative,31-Oct-17,,,,,,,,
1043,1043,HANSA METALLICS LIMITED,SMERA BBB-/SMERA A3,09-Mar-18,,,,,,,,,,
1044,1044,HAQ STEELS PRIVATE LIMITED,SMERA B,10-Sep-14,SMERA B+,08-Sep-15,Indicative,16-Feb-17,,,,,,
1045,1045,HARDEV CONSTRUCTION PRIVATE LIMITED,SMERA A4+,08-Mar-13,Suspended,30-May-14,,,,,,,,
1046,1046,HARDWARE TRADING CORPORATION,SMERA B+/SMERA A4,15-Jul-15,Suspended,26-Aug-16,,,,,,,,
1047,1047,HARE KRISHNA ORCHID,SMERA BB-,22-Feb-16,Indicative,26-May-17,,,,,,,,
1048,1048,HARI & CO,SMERA BB,10-Jun-15,,,,,,,,,,
1049,1049,HARIHAR INDUSTRIES,SMERA B+,02-Feb-17,,,,,,,,,,
1050,1050,HARISH TEXTILE ENGINEERS PRIVATE LIMITED,SMERA BB-,20-May-16,Indicative,31-Aug-17,,,,,,,,
1051,1051,HARIWANSH PACKAGING PRIVATE LIMITED,SMERA B+,15-Dec-16,Indicative,19-Feb-18,,,,,,,,
1052,1052,HARJI ENGINEERING WORKS PRIVATE LIMITED,SMERA BBB-/SMERA A3+,03-Apr-14,Suspended,17-Jul-15,SMERA BB+/SMERA A4+,03-Aug-16,,,,,,
1053,1053,HARSHA DEVELOPERS,SMERA BB-,12-Mar-18,,,,,,,,,,
1054,1054,HARYANA VIDYUT PRASARAN NIGAM LIMITED,SMERA A+(SO),03-May-12,,,,,,,,,,
1055,1055,HASEJA FIBRE INDIA PRIVATE LIMITED,SMERA B,08-Jun-15,Suspended,12-Aug-16,,,,,,,,
1056,1056,HAYATH FOODS,SMERA BB-/SMERA A4,31-Mar-17,,,,,,,,,,
1057,1057,HEALTH SECURE (INDIA) PRIVATE LIMITED,SMERA B+/SMERA A4,30-Sep-14,SMERA B/SMERA A4,03-Nov-15,SMERA B+/SMERA A4,25-Mar-17,,,,,,
1058,1058,HEERA RICE MILL,SMERA BB-,23-Sep-17,,,,,,,,,,
1059,1059,HEGDE CASHEWS,SMERA B+,17-Feb-18,,,,,,,,,,
1060,1060,HEMA ABODES PRIVATE LIMITED,SMERA B,22-May-17,,,,,,,,,,
1061,1061,HEMA AUTOMOTIVE PRIVATE LIMITED,SMERA BBB-,21-Dec-17,,,,,,,,,,
1062,1062,HEMA DYECHEM PRIVATE LIMITED,SMERA BBB-/SMERA A3,23-Jun-17,,,,,,,,,,
1063,1063,HEMANT INDUSTRIES,SMERA B,21-Oct-15,,,,,,,,,,
1064,1064,HEMANT SURGICAL INDUSTRIES LIMITED,SMERA BB/SMERA A4+,15-Sep-17,,,,,,,,,,
1065,1065,HENAN FIBRES (INDIA) PRIVATE LIMITED,SMERA D,22-Jan-16,SMERA B-,17-Jun-16,SMERA D,11-Sep-17,,,,,,
1066,1066,HERBAL ISOLATES PRIVATE LIMITED,SMERA A3+,24-Feb-17,SMERA A2,14-Mar-18,,,,,,,,
1067,1067,HERO FASHION,SMERA BB/SMERA A4+,29-Aug-16,SMERA BB+/SMERA A4+,18-Dec-17,,,,,,,,
1068,1068,HETALI ENTERPRISES,SMERA BB/SMERA A4+,22-Feb-18,,,,,,,,,,
1069,1069,HI – RISE BUILDING MATERIALS,SMERA C,26-Jun-13,Suspended,29-Sep-14,,,,,,,,
1070,1070,HIGHWAY COMFORT INN,SMERA BB,07-Aug-15,Suspended,09-Dec-16,,,,,,,,
1071,1071,HIKE SHOE PRIVATE LIMITED,SMERA B+,11-Jan-17,Indicative,19-Mar-18,,,,,,,,
1072,1072,HIL MAX EXPORT,SMERA B,17-Mar-16,Indicative,10-Jul-17,,,,,,,,
1073,1073,HILL BROW METALLICS AND CONSTRUCTION PRIVATE LIMITED,SMERA BBB/SMERA A3+,07-Mar-18,,,,,,,,,,
1074,1074,HILTEX INDUSTRIAL FABRICS PRIVATE LIMITED,SMERA B,07-Oct-14,Suspended,08-Jan-16,,,,,,,,
1075,1075,HILTEX OVERSEAS,SMERA B/SMERA A4,30-Dec-14,Suspended,17-Feb-16,,,,,,,,
1076,1076,HIMACHAL FIBRES LIMITED,SMERA D,13-Mar-14,Suspended,14-Jul-15,,,,,,,,
1077,1077,HIMACHAL SHOTS & METALS PRIVATE LIMITED,SMERA B-/SMERA A4,20-Feb-15,Indicative,11-Sep-17,,,,,,,,
1078,1078,HIMALAY CELLULAR,SMERA BB/SMERA A4+,13-May-17,,,,,,,,,,
1079,1079,HIMALAYA POLYURETHANE PRIVATE LIMITED,SMERA B+/SMERA A4,17-Jul-15,Suspended,21-Jul-16,,,,,,,,
1080,1080,HIMALYAN PLASTICS LIMITED,SMERA B+/SMERA A4,30-Dec-16,,,,,,,,,,
1081,1081,"HIMENVIRO ENVIRONMENTAL ENGINEERING COMPANYPRIVATE LIMITED",SMERA BB+/SMERA A4+,09-Aug-16,Indicative,15-Nov-17,,,,,,,,
1082,1082,HIMGIRI PACKS PRIVATE LIMITED,SMERA BB-,12-Mar-16,Indicative,26-Sep-17,,,,,,,,
1083,1083,HIMTEJ STAMPINGS PRIVATE LIMITED,SMERA B,12-Mar-18,,,,,,,,,,
1084,1084,HIND ENERGY AND COAL BENEFICATION INDIA LIMITED,SMERA A,16-Feb-18,,,,,,,,,,
1085,1085,HINDON FORGE PRIVATE LIMITED,SMERA D,02-Jun-15,Indicative,15-Nov-17,,,,,,,,
1086,1086,HINDUJA VENTURES LIMITED,SMERA A+,27-Mar-18,,,,,,,,,,
1087,1087,HINDUPUR STEEL AND ALLOYS PRIVATE LIMITED,SMERA BBB-,29-Dec-17,,,,,,,,,,
1088,1088,HINDUSTAN COMPOSITES LIMITED,SMERA A-/SMERA A2+,02-May-16,,,,,,,,,,
1089,1089,HINDUSTAN DIAMOND COMPANY PRIVATE LIMITED,SMERA BB+,11-Jun-14,Withdrawn,20-Apr-15,,,,,,,,
1090,1090,HINDUSTAN PRODUCE COMPANY,SMERA B/SMERA A4,10-Jun-15,Suspended,31-May-16,,,,,,,,
1091,1091,HINDUSTAN SEEDS,SMERA B,04-Oct-17,,,,,,,,,,
1092,1092,HINDUSTAN TEA EXPORTERS,SMERA A4,09-Jan-14,SMERA A4+,15-Apr-16,,,,,,,,
1093,1093,HINGANGHAT INTEGRATED TEXTILE PARK PRIVATE LIMITED,SMERA BB,27-Mar-18,,,,,,,,,,
1094,1094,HITECH ENGINEERS AND INFRA DEVELOPERS,SMERA B,28-Jun-17,,,,,,,,,,
1095,1095,HITECH FLY ASH INDIA PRIVATE LIMITED,SMERA BB/SMERA A4+,01-Oct-15,SMERA BB-/SMERA A4,16-Mar-17,,,,,,,,
1096,1096,HITECH SWEET WATER TECHNOLOGIES PRIVATE LIMITED,SMERA BBB-/SMERA A3,20-Feb-18,,,,,,,,,,
1097,1097,HI-TRAC MANPOWER SERVICES PRIVATE LIMITED,SMERA B,17-Jun-14,Suspended,14-Oct-15,,,,,,,,
1098,1098,HMM INFRA LIMITED,SMERA BB/SMERA A4+,03-Mar-16,SMERA BB+/SMERA A4+,18-Mar-17,,,,,,,,
1099,1099,HMTC ENGINEERING COMPANY (KOLKATA)PRIVATE LIMITED,SMERA B/SMERA A4,25-Oct-16,Indicative,05-Dec-17,,,,,,,,
1100,1100,HOMBALE INFRASTRUCTURE PROJECTS LLP,SMERA B/SMERA A4,14-Jun-13,Suspended,07-Oct-14,,,,,,,,
1101,1101,HOME FIT EXPORTS,SMERA A4+,14-Aug-15,Suspended,09-Nov-16,,,,,,,,
1102,1102,"HOME SAAZ (A UNIT OF ANIL BROTHERS DECORATORS PRIVATELIMITED)",SMERA B+,18-Jun-14,Suspended,20-Oct-15,,,,,,,,
1103,1103,HONEST ENTERPRISE PRIVATE LIMITED,SMERA BB-/SMERA A4+,17-Oct-17,,,,,,,,,,
1104,1104,HONOURABLE PACKAGING PRIVATE LIMITED,SMERA BB-,25-Nov-16,SMERA B+/SMERA A4,16-Feb-18,,,,,,,,
1105,1105,HOSHIARPUR AUTOMOBILES,SMERA BB+,28-Aug-15,Indicative,10-Jan-18,,,,,,,,
1106,1106,HULDIBARI INDUSTRIES & PLANTATION COMPANY LIMITED,SMERA B+/SMERA A4,25-Jun-15,SMERA B/SMERA A4,13-Dec-17,,,,,,,,
1107,1107,HUMANA PEOPLE TO PEOPLE INDIA,SMERA BB+,29-Mar-17,SMERA BB,27-Dec-17,,,,,,,,
1108,1108,HUNS DIGITAL HOME PRIVATE LIMITED,SMERA B,12-May-17,,,,,,,,,,
1109,1109,HYDERABAD POWER INSTALLATIONS PRIVATE LIMITED,SMERA BB/SMERA A4+,07-Jul-16,Indicative,06-Oct-17,,,,,,,,
1110,1110,HYPRECISION HYDRAULIK,SMERA BB+/SMERA A4+,24-Jan-18,,,,,,,,,,
1111,1111,IBUS NETWORK AND INFRASTRUCTURE PRIVATE LIMITED,SMERA BB-,10-Mar-17,,,,,,,,,,
1112,1112,ICON DESIGN AUTOMATION PRIVATE LIMITED,SMERA B/SMERA A4,11-Apr-16,,,,,,,,,,
1113,1113,ICON PROPERTIES,SMERA B,18-Sep-15,SMERA B+,21-Nov-16,Indicative,23-Feb-18,,,,,,
1114,1114,IDEAL WOVENPLAST PRIVATE LIMITED,SMERA B+,15-Dec-17,,,,,,,,,,
1115,1115,IGP ENGINEERS PRIVATE LIMITED,SMERA A+/SMERA A1,09-May-14,,,,,,,,,,
1116,1116,ILIFE MEDICAL DEVICES PRIVATE LIMITED,SMERA B+/SMERA A4,01-Apr-14,Suspended,06-Jul-15,SMERA BB-/SMERA A4+,10-Sep-15,Indicative,02-Jan-18,,,,
1117,1117,ILLUMINATI BUILDING SOLUTIONS PRIVATE LIMITED,SMERA B-,02-Jun-15,Suspended,17-Aug-16,SMERA D,24-Jun-17,,,,,,
1118,1118,IMPACT SARE MAGNUM TOWNSHIPS PRIVATE LIMITED,SMERA B/SMERA A4,17-Jun-14,Suspended,06-Jul-15,,,,,,,,
1119,1119,IMPULSE PHARMA PRIVATE LIMITED,SMERA BB,24-Nov-16,Indicative,30-Jan-18,,,,,,,,
1120,1120,IND-ANDHRA AGRO PRODUCTS PRIVATE LIMITED,SMERA B/SMERA A4,23-Mar-18,,,,,,,,,,
1121,1121,INDCOAT SHOE COMPONENTS LIMITED,SMERA BB+/SMERA A4+,27-Apr-16,Indicative,26-Sep-17,,,,,,,,
1122,1122,INDER ENGINEERING INDUSTRIES,SMERA BB/SMERA A4+,26-Mar-16,Indicative,08-Jul-17,,,,,,,,
1123,1123,INDEUTSCH INDUSTRIES PRIVATE LIMITED,SMERA BBB/SMERA A3+,27-Mar-14,SMERA BBB+/SMERA A2,02-Jun-15,,,,,,,,
1124,1124,INDFAB PROJECTS PRIVATE LIMITED,SMERA B+/SMERA A4,02-Dec-16,Indicative,13-Feb-18,,,,,,,,
1125,1125,INDIA COMMERCIAL SERVICES,SMERA BB/SMERA A4+,15-Apr-15,,,,,,,,,,
1126,1126,INDIA DAIRY FEEDS PRIVATE LIMITED,SMERA BB+/SMERA A4+,22-Feb-18,,,,,,,,,,
1127,1127,INDIA EXPOSITION MART LIMITED,SMERA BBB,30-Sep-14,SMERA BBB+,21-Sep-16,,,,,,,,
1128,1128,INDIA WIRE & GENERAL MILLS PRIVATE LIMITED,SMERA B/SMERA A4,02-Sep-16,Indicative,30-Nov-17,,,,,,,,
1129,1129,INDIAN CLOTHING LEAGUE PRIVATE LIMITED,SMERA BB+/SMERA A4+,06-Jan-14,SMERA BBB-,06-Oct-15,SMERA BB+,21-Apr-17,,,,,,
1130,1130,INDIAN COMMERCE AND INDUSTRIES CO PRIVATE LIMITED,SMERA BBB/SMERA A3+,28-Apr-16,Indicative,02-Aug-17,,,,,,,,
1131,1131,INDIAN DRAPE PRIVATE LIMITED,SMERA BB+,06-May-16,Indicative,31-Aug-17,,,,,,,,
1132,1132,INDIAN GEM & JEWELLERY IMPERIAL PRIVATE LIMITED,SMERA BB-,06-Jan-15,Indicative,31-Mar-17,,,,,,,,
