Company Name,Industry,Instrument,Outlook,Rating
ABS Electroplaters India Private Limited,Household Durables,Term Loan Facilities,Negative,CRISIL BBB-
ABS Marine Services Private Limited,Air Freight & Logistics,Proposed Long-Term Bank Facility,Positive,CRISIL BBB
ACB India Limited,Oil Gas & Consumable Fuels,Non Convertible Debenture,Negative,CRISIL A+
ACC Limited,Construction Materials,Over Draft,Stable,CRISIL AAA
ACE Augusta,Real Estate Development,Project Term Loan,Stable,CRISIL B
ACE Autocars Private Limited,Specialty Retail,Electronic Dealer Financing Scheme,Stable,CRISIL B-
ACETEL Enterprises Private Limited,Electronic Equipment Instruments & Components,Cash Credit Limit,Stable,CRISIL BB-
ACME Fitness Private Limited,Distributors,Long Term Bank Loan,Stable,CRISIL BB-
ACME Generics LLP,Pharmaceuticals,Cash Credit Limit,Stable,CRISIL B+
ACME Sawant Ventures,Real Estate Development,Proposed Long-Term Bank Facility,Stable,CRISIL B+
ACT Infraport Limited,Air Freight & Logistics,Proposed Cash Credit Limit,Stable,CRISIL BB+
ADD Pens Private Limited,Commercial Services & Supplies,Proposed Long-Term Bank Facility,Negative,CRISIL BBB
AGR Automobiles Private Limited,Specialty Retail,Cash Credit Limit,Stable,CRISIL BBB-
AI Cotton Industries,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL B
AIA Engineering Limited,Machinery,Cash Credit & Working Capital demand loan,Stable,CRISIL AA+
AJB Leathers,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL B
AK Metals,Metals & Mining,Proposed Cash Credit Limit,Stable,CRISIL B+
AKJA Exim Private Limited,Distributors,Proposed Long-Term Bank Facility,Stable,CRISIL B+
AKS Construction Private Limited,Construction & Engineering,Proposed Bank Guarantee ? Long-Term,Stable,CRISIL B
AL-HAMD Agro Food Products Pvt. Ltd.,Food Products,Export Packing Credit,Negative,CRISIL BBB-
AL-Quresh (Aurangabad City) Modern Abattoir Private Limited,Food Products,Proposed Long-Term Bank Facility,Stable,CRISIL BB
ALA Food Stuff Private Limited,Food Products,Cash Credit Limit,Stable,CRISIL BB-
ALMA Motors Private Limited,Auto Components,Term Loan Facilities,Stable,CRISIL B
ALP Aeroflex India Private Limited,Auto Components,Cash Credit Limit,Stable,CRISIL BBB-
ALP Milk Foods Private Limited,Food Products,Cash Credit Limit,Stable,CRISIL B+
ALP Nishikawa Company Private Limited,Auto Components,Cash Credit Limit,Stable,CRISIL A-
ALP Overseas Private Limited,Auto Components,Proposed Long-Term Bank Facility,Stable,CRISIL BBB
AMA Industries Private Limited,Chemicals,Cash Credit Limit,Stable,CRISIL B
AMDD Foods Private Limited,Food Products,Warehouse Receipts,Stable,CRISIL BB
AMP Universal Realty Private Limited,Construction & Engineering,Proposed Long-Term Bank Facility,Stable,CRISIL BB-
AMRR Maharaja Dhall Mills,Food Products,Long Term Bank Loan,Stable,CRISIL BBB
ANIR TECHPARK PVT. LTD.,Real Estate Development,Proposed Long-Term Bank Facility,Stable,CRISIL B-
ANS Private Limited,Broking Company,Over Draft,Stable,CRISIL BBB-
AOV Exports Private Limited,Food Products,Proposed Long-Term Bank Facility,Stable,CRISIL B+
AP Inc Lic,Hotels Restaurants & Leisure,Term Loan Facilities,Stable,CRISIL B
APIndia Biotech Private Limited,Chemicals,Term Loan Facilities,Negative,CRISIL BB+
APL Apollo Tubes Limited,Machinery,Working Capital Demand Loan,Stable,CRISIL AA-
APS Hydro Private Limited,Construction & Engineering,Cash Credit Limit,Stable,CRISIL B+
APS Powertech India Private Limited,Electronic Equipment Instruments & Components,Cash Credit Limit,Stable,CRISIL B
AR Constructions,Electrical Equipment,Proposed Long-Term Bank Facility,Stable,CRISIL B+
ARCIL Catalyst Private Limited,Chemicals,Cash Credit Limit,Stable,CRISIL BBB+
ARM Overseas Private Limited,Food Products,Stand by Letter of Credit,Stable,CRISIL B
ARR Infra Promoters,Construction & Engineering,Over Draft,Stable,CRISIL B
ARS Steels AND Alloy International Pvt Ltd,Metals & Mining,Long Term Bank Loan,Stable,CRISIL BB+
ASG Leather Private Limited,Engineering & Capital Goods,Proposed Fund-Based Bank Limits,Stable,CRISIL BB-
ASK Automotive Private Limited,Auto Components,Cash Credit Limit,Positive,CRISIL A+
ASL Enterprises Limited,Distributors,Proposed Fund-Based Bank Limits,Stable,CRISIL BB+
ASL Industries Limited,Auto Components,Cash Credit Limit,Stable,CRISIL BB
ASP Sealing Products Limited,Auto Components,Proposed Long-Term Bank Facility,Stable,CRISIL BB-
ASR Exports Private Limited,Food Products,Term Loan Facilities,Stable,CRISIL BB-
