Company Name,Industry,Instrument,Outlook,Rating
Sri Prasanna Anjaneya Raw and Boiled Rice Mill,Food Products,Cash Credit Limit,Stable,CRISIL B
Sri Prasanna Metals and Alloys,Machinery,Cash Credit Limit,Stable,CRISIL B
Sri Raam Dyeing Factory,Engineering & Capital Goods,Long Term Bank Loan,Stable,CRISIL BB-
Sri Raghavendra Agro Industries,Food Products,Cash Credit Limit,Stable,CRISIL BB-
Sri Raghavendra Ferro Alloys Private Limited,Metals & Mining,Cash Credit Limit,Stable,CRISIL B+
Sri Raghuramachandra Rice Industries,Food Products,Cash Credit Limit,Stable,CRISIL B+
Sri Rajalakshmi Saw Mill - Tirunelveli,Distributors,Cash Credit Limit,Stable,CRISIL B
Sri Rajendra Rishabh Ginning AND Pressing,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL BB-
Sri Rajeshwara Hatcheries Private Limited,Food Products,Cash Credit Limit,Stable,CRISIL BBB
Sri Ram Fibres,Household Durables,Rupee Term Loans,Stable,CRISIL B
Sri Ram Modern Rice Mill,Food Products,Term Loan Facilities,Stable,CRISIL B
Sri Ram Spinning Mills Limited,Engineering & Capital Goods,Long Term Bank Loan,Stable,CRISIL B-
Sri Rama Agri Genetics (India) Pvt Ltd,Food Products,Proposed Long-Term Bank Facility,Stable,CRISIL BB
Sri Rama Chandra Traders,Distributors,Warehouse Financing,Stable,CRISIL B
Sri Rama Pharmaceutical Distributors,Pharmaceuticals,Cash Credit Limit,Stable,CRISIL B
Sri Ramachandra Pooja Industries,Food Products,Cash Credit Limit,Stable,CRISIL B+
Sri Ramadas Motor Transport Limited,Specialty Retail,Cash Credit Limit,Stable,CRISIL A-
Sri Ramani Spinners Private Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL B
Sri Ramanjaneya Raw and Boiled Rice Mill,Food Products,Cash Credit Limit,Stable,CRISIL BB
Sri Ramprasad Skyscrapers Private Limited,Real Estate Development,Term Loan Facilities,Stable,CRISIL BB+
Sri Ravichandra Textiles Private Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL B-
Sri Rengas Avitta Garments,Engineering & Capital Goods,Foreign Bill Discounting Limit,Stable,CRISIL BB-
Sri Rudra Ginning Mill,Engineering & Capital Goods,Proposed Fund-Based Bank Limits,Stable,CRISIL B
Sri S. Subbiah and Company,Construction & Engineering,Cash Credit Limit,Stable,CRISIL B+
Sri S.R. Mill,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL B+
Sri SPM Weaving Mills,Engineering & Capital Goods,Long Term Bank Loan,Stable,CRISIL B
Sri Sai Appa BioCare,Distributors,Proposed Bank Guarantee ? Long-Term,Stable,CRISIL B
Sri Sai Chandana API Private Limited,Pharmaceuticals,Cash Credit Limit,Stable,CRISIL B
Sri Sai Constructions - Proddatur,Construction & Engineering,Proposed Bank Guarantee ? Long-Term,Stable,CRISIL BB
Sri Sai Earth Movers,Specialty Retail,Rupee Term Loans,Stable,CRISIL BB-
Sri Sai Harihara Estates Private Limited,Real Estate Development,Long Term Bank Loan,Stable,CRISIL BB-
Sri Sai Krishna Constructions,Construction & Engineering,Cash Credit Limit,Stable,CRISIL B+
Sri Sai Krishna Raw and Boiled Rice Mill,Food Products,Cash Credit Limit,Stable,CRISIL BB-
Sri Sai Lakshmi Rice Mill,Food Products,Proposed Working Capital Facility,Stable,CRISIL B
Sri Sai Leela Electrical Projects,Construction & Engineering,Cash Credit-Book Debt,Stable,CRISIL BB-
Sri Sai Pavan Industries Private Limited,Food Products,Long Term Bank Loan,Stable,CRISIL B-
Sri Sai Ram Service Station,Distributors,Proposed Long-Term Bank Facility,Stable,CRISIL BB-
Sri Sai Srinivasa Rice Industries Private Limited,Food Products,Cash Credit Limit,Stable,CRISIL B+
Sri Sai Swarupa Seeds Private Limited,Food Products,Cash Credit Limit,Stable,CRISIL BB
Sri Sailakshmi Constructions & Co,Construction & Engineering,Secured Overdraft Facility,Stable,CRISIL BBB-
Sri Sainadh Rice Industries,Food Products,Proposed Long-Term Bank Facility,Stable,CRISIL B+
Sri Sainath Constructions,Construction & Engineering,Cash Credit Limit,Stable,CRISIL BB
Sri Sainath Industry Private Limited,Distributors,Cash Credit Limit,Stable,CRISIL BB
Sri Sainatha Rice Industries,Food Products,Cash Credit Limit,Stable,CRISIL B
Sri Sakthi Amma Educational Trust,Diversified Consumer Services,Term Loan Facilities,Stable,CRISIL B+
Sri Sakthi Amma Health Care Trust,Health Care Providers & Services,Term Loan Facilities,Stable,CRISIL BB
Sri Sakthi Educational Trust,Diversified Consumer Services,Over Draft,Stable,CRISIL BB
Sri Sakthi Vinayaga Ginning Mills,Engineering & Capital Goods,Proposed Working Capital Facility,Stable,CRISIL B
Sri Santhoshima Parboiled Modern Rice Mill,Food Products,Long Term Bank Loan,Stable,CRISIL B
Sri Saraswathi Education Society,Diversified Consumer Services,Proposed Long-Term Bank Facility,Stable,CRISIL B+
Sri Saravana Constructions,Construction & Engineering,Secured Overdraft Facility,Stable,CRISIL B+
Sri Saravana Hi-Tech Agro Foods,Food Products,Cash Credit Limit,Stable,CRISIL B+
Sri Saravana Spinning Mills Private Limited,Engineering & Capital Goods,Long Term Bank Loan,Stable,CRISIL A-
Sri Sarvejana Cottons Private Limited,Engineering & Capital Goods,Long Term Bank Loan,Stable,CRISIL B
Sri Sarvesh Promoters,Construction & Engineering,Proposed Cash Credit Limit,Stable,CRISIL BB
Sri Sathya Agri Bio Tech Private Limited,Food Products,Cash Credit Limit,Stable,CRISIL BB
Sri Sathya Exim,Distributors,Cash Credit Limit,Stable,CRISIL B
Sri Satya Bhaskara Poultry Farm,Food Products,Open Cash Credit,Stable,CRISIL B+
Sri Satya Sai Constructions,Construction & Engineering,Cash Credit Limit,Stable,CRISIL B+
Sri Satyalakshmi Rice Mill,Food Products,Cash Credit Limit,Stable,CRISIL B+
Sri Satyanarayana Raw and Boiled Rice Mill Private Limited,Food Products,Cash Credit Limit,Stable,CRISIL B
Sri Satyanarayana Swamy Hatcharies,Food Products,Term Loan Facilities,Stable,CRISIL B+
Sri Seetharama Raw AND Boiled Rice Mill,Food Products,SME Credits,Stable,CRISIL BB-
Sri Senthilandavar Cotton Mills Private Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL BB-
Sri Seshasai Spinning Mills Private Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL B+
Sri Shandar Snacks Private Limited,Food Products,Long Term Bank Loan,Stable,CRISIL B
Sri Shreesha Rice Industries,Food Products,Long Term Bank Loan,Stable,CRISIL B+
Sri Shyam Fashion India Private Limited,Engineering & Capital Goods,Long Term Bank Loan,Stable,CRISIL BB-
Sri Siddardha Constructions,Construction Materials,Rupee Term Loans,Stable,CRISIL BB
Sri Siddhi Freezers and Exporters Private Limited,Food Products,Proposed Long-Term Bank Facility,Stable,CRISIL B+
Sri Sitaramanjaneya Sortex,Distributors,Cash Credit Limit,Stable,CRISIL B+
Sri Sowbhagya Lakshmi Paddy Boiling Industries,Food Products,Cash Credit Limit,Stable,CRISIL BB
Sri Sri Ravishankar Vidya Mandir Trust (Unit-Sri Sri University),Diversified Consumer Services,Term Loan Facilities,Stable,CRISIL B
Sri Sri Satyanarayana Raw AND Boiled Rice Mill,Food Products,Cash Credit Limit,Stable,CRISIL BB-
Sri Sri Sri Auto Cars India Private Limited,Specialty Retail,Cash Credit Limit,Stable,CRISIL B+
Sri Sridevi Raw and Boiled Rice Mill,Food Products,Proposed Long-Term Bank Facility,Stable,CRISIL B+
Sri Srinivasa Agro Products,Food Products,Proposed Long-Term Bank Facility,Stable,CRISIL B+
Sri Srinivasa Dairy Products Private Limited,Food Products,Cash Credit Limit,Stable,CRISIL BBB-
Sri Srinivasa Paper Mills Private Limited,Containers & Packaging,Cash Credit Limit,Stable,CRISIL B-
Sri Srinivasa Raw and Boiled Rice Mill,Food Products,Cash Credit Limit,Stable,CRISIL BB-
Sri Sudharsanam Hospital Private Limited,Health Care Providers & Services,Proposed Working Capital Facility,Stable,CRISIL B+
Sri Sukra Jewels,Engineering & Capital Goods,Cash Credit/ Overdraft facility,Stable,CRISIL BB-
Sri Surya Educational Society,Diversified Consumer Services,Long Term Bank Loan,Stable,CRISIL BB-
Sri Swami Chitrath Rice Mills,Food Products,Cash Credit Limit,Stable,CRISIL B+
Sri Thai Moogambigai Enterprises,Building Products,Cash Credit Limit,Stable,CRISIL B
Sri Ushaswini Rice Industries,Food Products,Cash Credit Limit,Stable,CRISIL BB-
Sri Vaishnaoi Automobiles (India) Private Limited,Specialty Retail,Proposed Cash Credit Limit,Stable,CRISIL BB+
Sri Vaishnavi Jute Traders,Engineering & Capital Goods,Warehouse Receipts,Stable,CRISIL B
Sri Vamshi Krishna Industries,Food Products,Cash Credit Limit,Stable,CRISIL BB-
Sri Vangalamman Farms India Private Limited,Food Products,Cash Credit Limit,Stable,CRISIL B-
Sri Varalakshmi Agro Tech Industries,Food Products,Cash Credit Limit,Stable,CRISIL B+
Sri Varalakshmi Hitech Rice Industries,Food Products,Cash Credit Limit,Stable,CRISIL B+
Sri Varalakshmi Solvent Oils Private Limited,Food Products,Term Loan Facilities,Stable,CRISIL B
Sri Varna Water Tech Private Limited,Construction & Engineering,Cash Credit Limit,Stable,CRISIL B+
Sri Varsha Food Products India Limited,Food Products,Cash Credit Limit,Stable,CRISIL BBB-
Sri Vasavi Agro Foods,Food Products,Cash Credit Limit,Stable,CRISIL B+
Sri Veereshwara Agro Agencies,Chemicals,Cash Credit Limit,Stable,CRISIL B+
Sri Venkata Kamakshi Rice Industries,Food Products,Long Term Bank Loan,Stable,CRISIL BB-
Sri Venkata Padma Traders,Food Products,Cash Credit Limit,Stable,CRISIL BB-
Sri Venkata Sai Agencies,Distributors,Key Cash Credit,Stable,CRISIL B
Sri Venkata Srinivasa Oils Private Limited,Food Products,Cash Credit Limit,Stable,CRISIL BB-
Sri Venkata Srinivasa Polymers Private Limited,Containers & Packaging,Open Cash Credit,Stable,CRISIL B+
Sri Venkata Subrahmanyeswara Modern Raw and Boiled Rice Mill,Food Products,Open Cash Credit,Stable,CRISIL B+
Sri Venkatachalapathy Spinning Mills Private Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL BB-
Sri Venkatadri Para boiled Rice Mill,Food Products,Cash Credit Limit,Stable,CRISIL BB
Sri Venkatalakshmi Spinners Private Limited,Engineering & Capital Goods,Long Term Bank Loan,Stable,CRISIL BB-
Sri Venkatarama Oil Industries Limited,Food Products,Cash Credit Limit,Stable,CRISIL BB+
Sri Venkatesh Granites Private Limited,Metals & Mining,Long Term Bank Loan,Stable,CRISIL BB-
Sri Venkatesh Iron and Alloys India Limited,Metals & Mining,Cash Credit Limit,Stable,CRISIL BBB-
Sri Venkateshwara Farms,Food & Staples Retailing,Proposed Long-Term Bank Facility,Stable,CRISIL B
Sri Venkateswara AND Company - Tenkasi,Distributors,Cash Credit Limit,Stable,CRISIL B
Sri Venkateswara Educational Society - Nellore,Diversified Consumer Services,Term Loan Facilities,Stable,CRISIL B+
Sri Venkateswara Educational Trust,Diversified Consumer Services,Term Loan Facilities,Stable,CRISIL B-
Sri Venkateswara Poultries,Food Products,Cash Credit Limit,Stable,CRISIL BB-
Sri Venkateswara Poultry Farm,Food Products,Long Term Bank Loan,Stable,CRISIL B
Sri Venkateswara Rice Industry,Food Products,Proposed Long-Term Bank Facility,Stable,CRISIL BB
Sri Venkateswara Rice Mill,Food Products,Working Capital Facility,Stable,CRISIL B
Sri Venkateswara Rice Mill - Gollaprolu,Food Products,Cash Credit Limit,Stable,CRISIL B
Sri Venkateswara Vidya Peeth,Diversified Consumer Services,Secured Overdraft Facility,Stable,CRISIL B+
Sri Venkatrama Agro Tech,Food Products,Cash Credit Limit,Stable,CRISIL B+
Sri Vignesh Yarns Private Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL BBB
Sri Vijaya Durga Oil Products Private Limited,Food Products,Proposed Fund-Based Bank Limits,Stable,CRISIL B
Sri Vijaya Durga Parboiled Rice Industries,Food Products,Cash Credit Limit,Stable,CRISIL BB-
Sri Vijaya Lakshmi Raw and Boiled Rice Mill,Food Products,Cash Credit Limit,Stable,CRISIL B+
Sri Vijaya Lakshmi Rice Industries,Food Products,Proposed Long-Term Bank Facility,Stable,CRISIL BB
Sri Vishnu Shankar Mills Limited,Engineering & Capital Goods,Working Capital Term Loan,Stable,CRISIL BBB-
Sri Viswasanthi Educational Institutions Private Limited,Diversified Consumer Services,Term Loan Facilities,Stable,CRISIL BB
Sri Vyshnavi Dairy Specialities Private Limited,Food Products,Proposed Long-Term Bank Facility,Stable,CRISIL BB-
Sri Vyshnavi Foods Private Limited,Food Products,Proposed Long-Term Bank Facility,Stable,CRISIL BB-
Sri lakshmi Mounica Rice Industries,Food Products,Proposed Long-Term Bank Facility,Stable,CRISIL B-
Sribalaji Hatcheries Private Limited,Food Products,Cash Credit Limit,Stable,CRISIL BB
Sridevi Tool Engineers Private Limited,Auto Components,Buyers Credit,Stable,CRISIL BBB
Sriganesh Engineering Works,Construction & Engineering,Over Draft,Stable,CRISIL B+
Srijagdamba Cylinder Gases Private Limited,Machinery,Secured Overdraft Facility,Stable,CRISIL B+
Srijan Realty Private Limited,Real Estate Development,Over Draft,Stable,CRISIL BBB+
Srikem Laboratories Private Limited,Pharmaceuticals,Post Shipment Credits,Stable,CRISIL BB
Srinathji Ispat Limited,Machinery,Cash Credit Limit,Stable,CRISIL BB
Srinav Oil Extraction Private Limited,Food Products,Cash Credit Limit,Stable,CRISIL BB-
Srini Pharmaceuticals Private Limited,Pharmaceuticals,Proposed Long-Term Bank Facility,Stable,CRISIL BBB-
Srinivas Papers,Distributors,Cash Credit Limit,Stable,CRISIL BB-
Srinivasa Chemical Enterprises,Chemicals,Over Draft,Stable,CRISIL BB+
Srinivasa Cotton AND Oil Mills Limited,Food Products,Cash Credit Limit,Stable,CRISIL BBB-
Srinivasa Cystine Private Limited,Chemicals,Cash Credit Limit,Stable,CRISIL BBB
Srinivasa Engineering Works,Auto Components,Cash Credit Limit,Stable,CRISIL B
Srinivasa Hair Industries Private Limited,Household Products,Proposed Long-Term Bank Facility,Stable,CRISIL BB+
Srinivasa Murugan Industries,Engineering & Capital Goods,Long Term Bank Loan,Stable,CRISIL B+
Sripathy Assoceates,Construction & Engineering,Cash Credit Limit,Stable,CRISIL BB-
Srishti Apparels,Engineering & Capital Goods,Proposed Long-Term Bank Facility,Stable,CRISIL BB-
Srishti Constructions,Construction & Engineering,Cash Credit Limit,Stable,CRISIL B+
Srishti Enterprises,Diversified Consumer Services,Cash Credit Limit,Stable,CRISIL BB
Srishti Infrastructures Limited,Construction & Engineering,Cash Credit Limit,Stable,CRISIL B+
Srivalli Shipping and Transport Private Limited,Air Freight & Logistics,Proposed Long-Term Bank Facility,Stable,CRISIL BBB-
Srivatsa Bio-Tech India Private Limited,Engineering & Capital Goods,Term Loan Facilities,Stable,CRISIL B+
Sriven Corporation,Distributors,Cash Credit Limit,Stable,CRISIL BBB-
Srivenkateshwar Tradex Private Limited,Distributors,Cash Credit Limit,Stable,CRISIL B
Srsg Broadcast India Private Limited,IT Services,Rupee Term Loans,Stable,CRISIL BB
Srushti Baths AND Interiors Private Limited,Distributors,Proposed Long-Term Bank Facility,Stable,CRISIL B
Sruti Filatex Private Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL BB+
St. George Foods,Food Products,Cash Credit Limit,Stable,CRISIL BB
St. Johns Cashew Company,Food Products,Cash Credit Limit,Stable,CRISIL B+
St. Josephs Educational Society,Diversified Consumer Services,Proposed Working Capital Facility,Stable,CRISIL B
St. Nicholas Cashew Exports,Distributors,Cash Credit Limit,Stable,CRISIL B+
St. Soldier Educational Society,Diversified Consumer Services,Term Loan Facilities,Stable,CRISIL BBB
St.Peter and Paul Seafood Exports Private Limited,Food Products,Long Term Bank Loan,Stable,CRISIL BB-
Sta-co Nutra Products Private Limited,Pharmaceuticals,Proposed Long-Term Bank Facility,Stable,CRISIL B+
Staarlight Designs,Engineering & Capital Goods,Long Term Bank Loan,Stable,CRISIL B+
Stadmed Private Limited,Pharmaceuticals,Cash Credit Limit,Stable,CRISIL BB
Stalagmite Infracon Private Limited,Construction & Engineering,Cash Credit Limit,Stable,CRISIL BB
Stalwart Alloys India Private Limited,Metals & Mining,Cash Credit Limit,Stable,CRISIL B+
Stalwart Technik Private Limited,Metals & Mining,Term Loan Facilities,Stable,CRISIL BB-
Standard Chartered Investments and Loans India Limited,Non Banking Financial Company,Non Convertible Debenture,Stable,CRISIL AA+
Standard Corporation India Limited,Machinery,Working Capital Term Loan,Stable,CRISIL B
Standard Paper And Board India Private Limited,Distributors,Cash Credit Limit,Stable,CRISIL B+
Standard Radiators Private Limited,Auto Components,Proposed Long-Term Bank Facility,Stable,CRISIL BBB
Standard Strips India Private Limited,Trading Companies & Distributors,Channel Financing (LT),Stable,CRISIL BB
Stanfab Apparels Private Limited,Engineering & Capital Goods,Stand by Line of Credit,Stable,CRISIL BBB-
Stanley Lifestyles Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL BBB
Stanley Retail Limited,Household Durables,Proposed Long-Term Bank Facility,Stable,CRISIL BBB
Star Agro Marine Exports Private Limited,Food Products,Long Term Bank Loan,Stable,CRISIL B
Star Aqua International Private Limited,Food Products,Long Term Bank Loan,Stable,CRISIL B
Star Battery Limited,Electrical Equipment,Term Loan Facilities,Stable,CRISIL B
Star Cement Ltd,Construction Materials,Corporate Loan,Stable,CRISIL A
Star Cement Meghalaya Limited,Construction Materials,Term Loan Facilities,Stable,CRISIL A
Star Cotspin Limited,Engineering & Capital Goods,Term Loan Facilities,Stable,CRISIL BBB
Star Educational Books Distributor Private Limited,Media,Cash Credit Limit,Stable,CRISIL BB
Star Export,Distributors,Warehouse Receipts,Stable,CRISIL B
Star Exports,Engineering & Capital Goods,Packing Credit,Stable,CRISIL BB-
Star Global Endura Limited,Containers & Packaging,Proposed Long-Term Bank Facility,Positive,CRISIL BB
Star Impex,Distributors,Cash Credit Limit,Stable,CRISIL B
Star Industries,Metals & Mining,Cash Credit Limit,Stable,CRISIL B
Star Kraft Papers Private Limited,Containers & Packaging,Cash Credit Limit,Stable,CRISIL BB-
Star Organic Foods Inc,Food Products,Packing Credit,Stable,CRISIL B
Star Pipe Products (India) Private Limited,Metals & Mining,Export Packing Credit,Stable,CRISIL BBB-
Star Plastics,Machinery,Cash Credit Limit,Stable,CRISIL BB-
Star Rewinders and Electricals,Construction & Engineering,Cash Credit Limit,Stable,CRISIL B-
Star Royal Distributors,Trading Companies & Distributors,Proposed Long-Term Bank Facility,Stable,CRISIL BB-
Star Trace Private Limited,Construction & Engineering,Proposed Bank Guarantee ? Long-Term,Stable,CRISIL BB-
Star Transformers Limited,Electronic Equipment Instruments & Components,Cash Credit Limit,Stable,CRISIL BB-
Star Wire India Engineering Limited,Metals & Mining,Stand by Line of Credit,Positive,CRISIL BBB
Star Wire India Limited,Metals & Mining,Cash Credit Limit,Positive,CRISIL A-
Starcare Hospital Kozhikode Private Limited,Health Care Providers & Services,Term Loan Facilities,Stable,CRISIL B+
Starcon Infra Projects India Private Limited,Construction & Engineering,Cash Credit Limit,Stable,CRISIL BBB-
Stark Communications Private Limited,Media,Cash Credit Limit,Stable,CRISIL BB+
Stark Ridge Paper Private Limited,Paper & Forest Products,Proposed Long-Term Bank Facility,Stable,CRISIL B-
Starline Cars Private Limited,Specialty Retail,Electronic Dealer Financing Scheme,Positive,CRISIL BB
Starwing Plastic and Chemicals Private Limited,Distributors,Cash Credit Limit,Stable,CRISIL B
Starwood Techno Industries Private Limited,Household Durables,Proposed Long-Term Bank Facility,Stable,CRISIL B
Starwood Veneers Private Limited,Construction Materials,Export Packing Credit & Export Bills Negotiation/Foreign Bill discounting(LT),Stable,CRISIL B
State Bank Of Hyderabad,Banks,Tier I Bonds (Under Basel III)(LT),Stable,CRISIL AA+
State Bank Of Travancore,Banks,Tier I Bonds (Under Basel III)(LT),Stable,CRISIL AA+
State Bank of Bikaner And Jaipur,Banks,Lower Tier-II Bonds (under Basel II)(LT),Stable,CRISIL AAA
State Bank of India,Banks,Tier I Bonds (Under Basel III)(LT),Stable,CRISIL AA+
State Bank of Mysore,Banks,Tier I Bonds (Under Basel III)(LT),Stable,CRISIL AA+
State Bank of Patiala,Banks,Tier I Bonds (Under Basel III)(LT),Stable,CRISIL AA+
Staunch Natural Resources Private Limited,Distributors,Proposed Long-Term Bank Facility,Stable,CRISIL B+
Steam Equipments Private Limited,Machinery,Proposed Cash Credit Limit,Stable,CRISIL BB
Stedman Pharmaceuticals Private Limited,Pharmaceuticals,Stand by Line of Credit,Stable,CRISIL BB+
Steel Centre,Distributors,Cash Credit Limit,Stable,CRISIL BB-
Steel Crackers Private Limited,Metals & Mining,Cash Credit Limit,Stable,CRISIL BB
Steel Products Limited,Machinery,Cash Credit Limit,Stable,CRISIL B
Steel Providers,Distributors,Cash Credit Limit,Stable,CRISIL B
Steel Strong Valves India Private Limited,Metals & Mining,Cash Credit Limit,Stable,CRISIL BB+
Steel Works and Power Engineers Pvt Ltd,Metals & Mining,Term Loan Facilities,Stable,CRISIL BB-
Steel and Industrial Forgings Limited,Metals & Mining,Cash Credit Limit,Stable,CRISIL B
Steelex Precisions Private Limited,Metals & Mining,Cash Credit Limit,Stable,CRISIL BB-
Steelman Industries,Distributors,Proposed Long-Term Bank Facility,Stable,CRISIL B+
Stellar Marine Foods,Food Products,Packing Credit,Stable,CRISIL B+
Stepping Stone Educational Society,Diversified Consumer Services,Long Term Bank Loan,Stable,CRISIL B
Stericon Pharma Private Limited,Health Care Equipment & Supplies,Cash Credit Limit,Stable,CRISIL BBB
Sterimed INC,Health Care Equipment & Supplies,Proposed Working Capital Facility,Stable,CRISIL B
Sterling Abrasives Limited,Machinery,Cash Credit Limit,Stable,CRISIL A+
Sterling Agro Industries Limited,Food Products,Term Loan Facilities,Positive,CRISIL A
Sterling Cast and Forge,Machinery,Cash Credit Limit,Stable,CRISIL BB-
Sterling Habitats Private Limited,Real Estate Development,Non Convertible Debentures - Series I(SO),Negative,CRISIL B(SO)
Sterling Impex - Delhi,Chemicals,Over Draft,Stable,CRISIL B
Sterling India,Electrical Equipment,Proposed Long-Term Bank Facility,Stable,CRISIL BB+
Sterling Ornaments Private Limited,Engineering & Capital Goods,Bill Discounting,Stable,CRISIL BB-
Sterling Publishers Private Limited,Media,Over Draft,Negative,CRISIL BBB-
Sterling Tapes Limited,Containers & Packaging,Proposed Long-Term Bank Facility,Stable,CRISIL BB-
Sterling Tubes,Machinery,Open Cash Credit,Stable,CRISIL B
Sterling and Wilson Co-Gen Solutions Private Limited,Electrical Equipment,Letter of Credit (LC),Negative,CRISIL BB+
Sterlite Technologies Limited,Electrical Equipment,Term Loan Facilities,Positive,CRISIL AA-
Stic Travels Private Limited,Hotels Restaurants & Leisure,Proposed Long-Term Bank Facility,Stable,CRISIL BBB-
Stitchfab (India) Private Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL B
StockHolding Document Management Services Limited,IT Services,Cash Credit Limit,Stable,CRISIL BBB+
Stone Age Private Limited,Construction Materials,Term Loan Facilities,Negative,CRISIL BB+
Stone Wonders India Limited,Building Products,Proposed Long-Term Bank Facility,Stable,CRISIL B
Stonemen Crafts India Private Limited,Construction Materials,Packing Credit,Stable,CRISIL BBB
StoreEx Solutions Private Limited,Commercial Services & Supplies,Term Loan Facilities,Stable,CRISIL B
Strawberry Ceramic Private Limited,Building Products,Cash Credit Limit,Stable,CRISIL B+
Stream Ceramic Private Limited,Building Products,Term Loan Facilities,Stable,CRISIL B+
Strescon Industries Limited,Machinery,Proposed Long-Term Bank Facility,Stable,CRISIL B+
Structural Solutions Private Limited,Distributors,Over Draft,Stable,CRISIL B+
Studds Accessories Limited,Auto Components,Proposed Long-Term Bank Facility,Stable,CRISIL A-
Sua Explosives AND Accessories Private Limited,Chemicals,Cash Credit Limit,Stable,CRISIL BBB-
Suadela Constructions Private Limited,Real Estate Development,Proposed Term Loan,Stable,CRISIL BBB+
Suam Overseas Private Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL BBB+
Subam Papers Private Limited,Paper & Forest Products,Long Term Bank Loan,Stable,CRISIL BBB
Subasree Jewellers,Engineering & Capital Goods,Long Term Bank Loan,Stable,CRISIL B-
Subh Laxmi Cotton Private Limited,Engineering & Capital Goods,Term Loan Facilities,Stable,CRISIL BB
Subh Laxmi Oil Industries,Food Products,Cash Credit Limit,Stable,CRISIL BB
Subh Sanket Traders Private Limited,Distributors,Drop Line Overdraft Facility,Stable,CRISIL B+
Subha Technical Services Private Limited,Electronic Equipment Instruments & Components,Cash Credit Limit,Stable,CRISIL BB-
Subha-Soumya Cold Storage Private Limited,Commercial Services & Supplies,Cash Credit Limit,Stable,CRISIL B-
Subhash Hastimal Lodha,Industrial Conglomerates,Over Draft,Stable,CRISIL B+
Subhash Infraengineers Private Limited,Construction & Engineering,Cash Credit Limit,Stable,CRISIL BBB
Subhash Kumar Agrawal - Raigarh,Construction & Engineering,Cash Credit Limit,Stable,CRISIL BB+
Subhash Stone Industries Private Limited,Construction Materials,Cash Credit Limit,Stable,CRISIL B+
Subhodaya Chemicals Private Limited,Chemicals,Cash Credit Limit,Stable,CRISIL BB-
Subhshri Developers,Real Estate Development,Proposed Term Loan,Stable,CRISIL B
Subra Enterprises,Distributors,Cash Credit Limit,Stable,CRISIL B
Subrahmanyeswara Swamy Rice Mill,Food Products,Proposed Long-Term Bank Facility,Stable,CRISIL B-
Subramaniam Bottles LLP,Distributors,Cash Credit Limit,Stable,CRISIL B
Success Engineers,Electrical Equipment,Long Term Bank Loan,Stable,CRISIL BB
Suchi Industries Limited,Engineering & Capital Goods,Proposed Long-Term Bank Facility,Stable,CRISIL BB+
Suchitra Education Trust,Diversified Consumer Services,Term Loan Facilities,Stable,CRISIL B
Suchitra Yarn Traders,Engineering & Capital Goods,Proposed Cash Credit Limit,Stable,CRISIL BB+
Suchitraa Silk Private Limited,Engineering & Capital Goods,Over Draft,Stable,CRISIL BB+
Sud Pines Private Limited,Chemicals,Cash Credit Limit,Stable,CRISIL BB-
Sud-Chemie India Private Limited,Chemicals,Cash Credit Limit,Stable,CRISIL AA
Sudalagunta Sugars Limited,Food Products,Long Term Bank Loan,Stable,CRISIL B+
Sudarshan Electrical Engg. Works,Electrical Equipment,Cash Credit Limit,Stable,CRISIL B+
Sudeep Exim Private Limited,Distributors,Cash Credit Limit,Stable,CRISIL B+
Sudesh Cotton Ginning and Pressing Factory,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL B+
Sudha Business Enterprises Private Limited,Specialty Retail,Cash Credit Limit,Stable,CRISIL BB-
Sudhakar Irrigation Systems Private Limited,Machinery,Cash Credit Limit,Stable,CRISIL BBB
Sudhakar PVC Products Private Limited,Machinery,Long Term Bank Loan,Stable,CRISIL BBB
Sudhakar Plastic Private Limited,Machinery,Cash Credit Limit,Stable,CRISIL BBB
Sudhakar Polymers Limited,Machinery,Long Term Bank Loan,Stable,CRISIL BBB
Sudharsanamtrans,Road & Rail,Rupee Term Loans,Stable,CRISIL BB-
Sudheer Infrastructure Private Limited,Construction & Engineering,Proposed Bank Guarantee ? Long-Term,Stable,CRISIL BB
Sudheer Overseas Private Limited,Construction Materials,Cash Credit Limit,Stable,CRISIL BB-
Sudheer Timbers Private Limited,Paper & Forest Products,Cash Credit Limit,Stable,CRISIL BB-
Sudhir Agro Oils Private Limited,Distributors,Cash Credit Limit,Stable,CRISIL BB+
Sudhir Synthetics Private Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL BB-
